region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iFRP,0.2862700432453187,0.014608373275048764,0.0,1.0,0.0,1
iMOp,1.3162193525213661,0.06265883460570956,0.0,1.0,0.0,1
iMOs,2.1857658628674588,0.0772938795180895,0.0,1.0,0.0,1
iSSp-n,-1.1940526399171085,0.5153872566246959,0.0,1.0,0.0,1
iSSp-bfd,0.06685816044210803,0.12372784757019964,0.0,1.0,0.0,1
iSSp-ll,-0.08477714034343958,0.11430182545072079,0.0,1.0,0.0,1
iSSp-m,-0.9967175555992699,0.47388951049813666,0.0,1.0,0.0,1
iSSp-ul,0.28860920835127546,0.07126421893219233,0.0,1.0,0.0,1
iSSp-tr,-0.03574300492462348,0.07725517458506227,0.0,1.0,0.0,1
iSSp-un,-0.12288948640862718,0.08148909227173284,0.0,1.0,0.0,1
iSSs,1.954337721647842,0.06824760775858782,0.0,1.0,0.0,1
iGU,0.14099600666691048,0.05038469102108884,0.0,1.0,0.0,1
iVISC,0.3649939873192295,0.04532971144352951,0.0,1.0,0.0,1
iAUDd,0.5979537929076516,0.03793870659611249,0.0,1.0,0.0,1
iAUDp,0.4581653083374412,0.11795992086837286,0.0,1.0,0.0,1
iAUDpo,-0.736666006771134,0.22041422103333885,0.0,1.0,0.0,1
iAUDv,1.008200289109093,0.041049755953363264,0.0,1.0,0.0,1
iVISal,-0.6275844991694591,0.20103379095278817,0.0,1.0,0.0,1
iVISam,-0.38319194921884603,0.12983803403929048,0.0,1.0,0.0,1
iVISl,-0.606961082092638,0.39504070779644773,0.0,1.0,0.0,1
iVISp,-0.13812910504985665,0.8819546014608127,0.0,1.0,1.5732838798740756e-17,1
iVISpl,-0.5450048910539449,0.3182652180954826,0.0,1.0,0.0,1
iVISpm,-1.0901315829082499,0.44472514693023435,0.0,1.0,0.0,1
iVISli,-0.8573061144487629,0.29996980204651474,0.0,1.0,0.0,1
iVISpor,0.016726496579527426,0.08404918322058277,0.0,1.0,0.0,1
iACAd,1.0343064925105856,0.02727172525443583,0.0,1.0,0.0,1
iACAv,-0.51476475157621,0.16967317377479046,0.0,1.0,0.0,1
iPL,0.8344541065169707,0.019997520310865657,0.0,1.0,0.0,1
iILA,-0.3325633868004248,0.10914021607456005,0.0,1.0,0.0,1
iORBl,0.49610479566625504,0.02571858983428083,0.0,1.0,0.0,1
