region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iFRP,0.0022617040543513574,0.002257557799425884,0.07978845608028654,0.060281027498908714,0.0,1
iMOp,0.07999704257262319,0.055541036734118907,0.07978845608028654,0.060281027498908714,3.4983370043021785e-5,1
iMOs,0.010084498253996495,0.009537776713545595,0.07978845608028654,0.060281027498908714,0.0,1
iSSp-n,0.08053625224842881,0.061073611423350535,0.07978845608028654,0.060281027498908714,0.6723253802295994,0
iSSp-bfd,0.09468087198122985,0.06603586923428431,0.07978845608028654,0.060281027498908714,1.0652165994918957e-36,1
iSSp-ll,0.09092343293320064,0.06531211010040262,0.07978845608028654,0.060281027498908714,6.108157446137558e-22,1
iSSp-m,0.07955522335788544,0.06103212809189351,0.07978845608028654,0.060281027498908714,0.6607407868709064,0
iSSp-ul,0.12799564222949109,0.07676285735683044,0.07978845608028654,0.060281027498908714,1.0460588374188978e-275,1
iSSp-tr,0.1297363800457926,0.07996083222133338,0.07978845608028654,0.060281027498908714,1.1807234845830063e-274,1
iSSp-un,0.137482101668871,0.08265547234731996,0.07978845608028654,0.060281027498908714,0.0,1
iSSs,0.428262984815232,0.0529700778602762,0.07978845608028654,0.060281027498908714,0.0,1
iGU,0.10397390701905627,0.0656712082782262,0.07978845608028654,0.060281027498908714,2.118802687416485e-110,1
iVISC,0.11590357718834744,0.05720068730129133,0.07978845608028654,0.060281027498908714,1.52164867e-316,1
iAUDd,0.5773884063995759,0.06157885905930151,0.07978845608028654,0.060281027498908714,0.0,1
iAUDp,0.10301582078286461,0.07155299246752217,0.07978845608028654,0.060281027498908714,1.7271956989412783e-65,1
iAUDpo,0.08584025690133607,0.06303352785219692,0.07978845608028654,0.060281027498908714,5.691619655611268e-7,1
iAUDv,0.48116115309738783,0.059495457893645215,0.07978845608028654,0.060281027498908714,0.0,1
iVISal,0.09089038797542068,0.0648788088331344,0.07978845608028654,0.060281027498908714,7.282645535388658e-21,1
iVISam,0.09683012649225688,0.06985949126282169,0.07978845608028654,0.060281027498908714,2.048658887024748e-40,1
iVISl,0.08350099349150403,0.06195894205177781,0.07978845608028654,0.060281027498908714,0.005288763729568847,0
iVISp,0.08046563751588288,0.060099858207061596,0.07978845608028654,0.060281027498908714,0.3259806275804741,0
iVISpl,0.08061265261519966,0.061857013203693606,0.07978845608028654,0.060281027498908714,0.45258080596171957,0
iVISpm,0.08030048888726966,0.059991334302723826,0.07978845608028654,0.060281027498908714,0.3072513975860731,0
iVISli,0.08265480726197047,0.06139422267526208,0.07978845608028654,0.060281027498908714,0.007748997957910943,0
iVISpor,0.10041959263269708,0.06960729479968286,0.07978845608028654,0.060281027498908714,1.1366649238050279e-61,1
iACAd,0.00913010174264834,0.006912547441834865,0.07978845608028654,0.060281027498908714,0.0,1
iACAv,0.0863003422374399,0.06260020394042369,0.07978845608028654,0.060281027498908714,3.446719378117876e-10,1
iPL,0.004265357551220245,0.004112421799814749,0.07978845608028654,0.060281027498908714,0.0,1
iILA,0.07627939468535513,0.05819269296960475,0.07978845608028654,0.060281027498908714,0.009328928365533777,0
iORBl,0.011560862034026976,0.011460298580343238,0.07978845608028654,0.060281027498908714,0.0,1
iORBm,0.03481284428107719,0.033841954815748136,0.07978845608028654,0.060281027498908714,0.0,1
iORBvl,0.008342392858418866,0.008520765409710364,0.07978845608028654,0.060281027498908714,0.0,1
iAId,0.015571307303194289,0.014523422962635662,0.07978845608028654,0.060281027498908714,0.0,1
