mouse,Region ID,mpi,side,parent,daughter,treatment,sex,marker,% pathology pSYN
401,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0.002758464
402,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0
403,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0
404,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0.001403413
415,23,4,left,AAA,AAA,mPFF,f,pSyn,0
419,23,9,left,AAA,AAA,mPFF,f,pSyn,0
401,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.00093017
402,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
403,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
404,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.000417614
405,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.00011279
406,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.008842947
407,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
408,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
410,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
411,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.001318282
412,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.003854191
413,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.007305264
414,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.004371838
415,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.006279539
416,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.002580442
417,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.002109394
419,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.000294437
420,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0
421,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.00029129
422,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.000375731
423,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.00047759
424,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.000252827
401,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.00093017
402,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
403,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
404,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.000417614
405,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.00011279
406,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.008842947
407,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
408,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
410,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
411,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.001318282
412,211,6,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.003854191
413,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.007305264
414,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.004371838
415,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.006279539
416,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.002580442
417,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.002109394
419,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.000294437
420,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0
