mouse,Region ID,mpi,side,parent,daughter,treatment,sex,marker,% pathology pTau
402,23,4,left,AAA,AAA,AD PHF/mPFF,f,pTau,0
403,23,4,left,AAA,AAA,AD PHF/mPFF,f,pTau,0.010133652
401,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000762965
402,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000994607
403,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000321785
404,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000150094
405,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.009458597
406,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.005878225
407,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.002448958
408,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.001176047
410,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000250687
411,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.000555138
412,935,6,left,ACAd,ACAd1,mPFF,f,pTau,0.00084366
413,935,4,left,ACAd,ACAd1,mPFF,f,pTau,0.000106797
414,935,4,left,ACAd,ACAd1,mPFF,f,pTau,0
415,935,4,left,ACAd,ACAd1,mPFF,f,pTau,0.000127619
416,935,4,left,ACAd,ACAd1,mPFF,f,pTau,0
417,935,9,left,ACAd,ACAd1,mPFF,f,pTau,0
419,935,9,left,ACAd,ACAd1,mPFF,f,pTau,0.001230532
420,935,9,left,ACAd,ACAd1,mPFF,f,pTau,0
421,935,9,left,ACAd,ACAd1,mPFF,f,pTau,0
422,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pTau,0.002205046
423,935,6,left,ACAd,ACAd1,mPFF,f,pTau,0.000687299
424,935,6,left,ACAd,ACAd1,mPFF,f,pTau,0
401,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000762965
402,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000994607
403,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000321785
404,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000150094
405,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.009458597
406,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.005878225
407,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.002448958
408,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.001176047
410,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000250687
411,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.000555138
412,211,6,left,ACAd,ACAd2/3,mPFF,f,pTau,0.00084366
413,211,4,left,ACAd,ACAd2/3,mPFF,f,pTau,0.000106797
414,211,4,left,ACAd,ACAd2/3,mPFF,f,pTau,0
415,211,4,left,ACAd,ACAd2/3,mPFF,f,pTau,0.000127619
416,211,4,left,ACAd,ACAd2/3,mPFF,f,pTau,0
417,211,9,left,ACAd,ACAd2/3,mPFF,f,pTau,0
419,211,9,left,ACAd,ACAd2/3,mPFF,f,pTau,0.001230532
420,211,9,left,ACAd,ACAd2/3,mPFF,f,pTau,0
421,211,9,left,ACAd,ACAd2/3,mPFF,f,pTau,0
422,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pTau,0.002205046
423,211,6,left,ACAd,ACAd2/3,mPFF,f,pTau,0.000687299
424,211,6,left,ACAd,ACAd2/3,mPFF,f,pTau,0
401,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000762965
402,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000994607
403,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000321785
404,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000150094
405,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.009458597
406,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.005878225
407,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.002448958
408,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.001176047
410,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000250687
411,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.000555138
412,1015,6,left,ACAd,ACAd5,mPFF,f,pTau,0.00084366
413,1015,4,left,ACAd,ACAd5,mPFF,f,pTau,0.000106797
414,1015,4,left,ACAd,ACAd5,mPFF,f,pTau,0
415,1015,4,left,ACAd,ACAd5,mPFF,f,pTau,0.000127619
416,1015,4,left,ACAd,ACAd5,mPFF,f,pTau,0
417,1015,9,left,ACAd,ACAd5,mPFF,f,pTau,0
419,1015,9,left,ACAd,ACAd5,mPFF,f,pTau,0.001230532
420,1015,9,left,ACAd,ACAd5,mPFF,f,pTau,0
421,1015,9,left,ACAd,ACAd5,mPFF,f,pTau,0
422,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pTau,0.002205046
423,1015,6,left,ACAd,ACAd5,mPFF,f,pTau,0.000687299
424,1015,6,left,ACAd,ACAd5,mPFF,f,pTau,0
401,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000762965
402,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000994607
403,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000321785
404,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000150094
405,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.009458597
406,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.005878225
407,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.002448958
408,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.001176047
410,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000250687
411,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.000555138
412,919,6,left,ACAd,ACAd6a,mPFF,f,pTau,0.00084366
413,919,4,left,ACAd,ACAd6a,mPFF,f,pTau,0.000106797
414,919,4,left,ACAd,ACAd6a,mPFF,f,pTau,0
415,919,4,left,ACAd,ACAd6a,mPFF,f,pTau,0.000127619
416,919,4,left,ACAd,ACAd6a,mPFF,f,pTau,0
417,919,9,left,ACAd,ACAd6a,mPFF,f,pTau,0
419,919,9,left,ACAd,ACAd6a,mPFF,f,pTau,0.001230532
420,919,9,left,ACAd,ACAd6a,mPFF,f,pTau,0
421,919,9,left,ACAd,ACAd6a,mPFF,f,pTau,0
422,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pTau,0.002205046
423,919,6,left,ACAd,ACAd6a,mPFF,f,pTau,0.000687299
424,919,6,left,ACAd,ACAd6a,mPFF,f,pTau,0
401,927,4,left,ACAd,ACAd6b,AD PHF/mPFF,f,pTau,0.000762965
