uniqueID,preLimVal,region,hemi,mouse,treatment,postLimVal,removeRegion,parent,major,x,y
1152_mPFF_ACAd_left,0.430860871,ACAd,left,1152,mPFF,0.430860871,FALSE,ACA,Isocortex,1152_mPFF,ACAd_left
1152_mPFF_ACAd_right,0.487054024,ACAd,right,1152,mPFF,0.487054024,FALSE,ACA,Isocortex,1152_mPFF,ACAd_right
1152_mPFF_ACAv_left,0.495711111,ACAv,left,1152,mPFF,0.495711111,FALSE,ACA,Isocortex,1152_mPFF,ACAv_left
1152_mPFF_ACAv_right,0.562618623,ACAv,right,1152,mPFF,0.562618623,FALSE,ACA,Isocortex,1152_mPFF,ACAv_right
1152_mPFF_ACB_left,-0.268526716,ACB,left,1152,mPFF,0,FALSE,ACB,STR,1152_mPFF,ACB_left
1152_mPFF_ACB_right,-0.242049538,ACB,right,1152,mPFF,0,FALSE,ACB,STR,1152_mPFF,ACB_right
1152_mPFF_AId_left,-0.134439173,AId,left,1152,mPFF,0,FALSE,AI,Isocortex,1152_mPFF,AId_left
1152_mPFF_AId_right,0.515908026,AId,right,1152,mPFF,0.515908026,FALSE,AI,Isocortex,1152_mPFF,AId_right
1152_mPFF_AIp_left,-2.582129882,AIp,left,1152,mPFF,0,FALSE,AI,Isocortex,1152_mPFF,AIp_left
1152_mPFF_AIp_right,0.444164733,AIp,right,1152,mPFF,0.444164733,FALSE,AI,Isocortex,1152_mPFF,AIp_right
1152_mPFF_AIv_left,0.003089111,AIv,left,1152,mPFF,0.003089111,FALSE,AI,Isocortex,1152_mPFF,AIv_left
1152_mPFF_AIv_right,0.458384037,AIv,right,1152,mPFF,0.458384037,FALSE,AI,Isocortex,1152_mPFF,AIv_right
1152_mPFF_APr_left,0.262970258,APr,left,1152,mPFF,0.262970258,FALSE,APr,HPF,1152_mPFF,APr_left
1152_mPFF_APr_right,0.633476167,APr,right,1152,mPFF,0.633476167,FALSE,APr,HPF,1152_mPFF,APr_right
1152_mPFF_AQ_left,-2.933570198,AQ,left,1152,mPFF,0,TRUE,AQ,VS,1152_mPFF,AQ_left
1152_mPFF_AQ_right,-1.748101454,AQ,right,1152,mPFF,0,TRUE,AQ,VS,1152_mPFF,AQ_right
1152_mPFF_ARH_left,-1.506797463,ARH,left,1152,mPFF,0,FALSE,ARH,HY,1152_mPFF,ARH_left
1152_mPFF_ARH_right,-1.384065229,ARH,right,1152,mPFF,0,FALSE,ARH,HY,1152_mPFF,ARH_right
1152_mPFF_AT_left,-0.962612713,AT,left,1152,mPFF,0,FALSE,AT,MB,1152_mPFF,AT_left
1152_mPFF_AT_right,0.591953888,AT,right,1152,mPFF,0.591953888,FALSE,AT,MB,1152_mPFF,AT_right
1152_mPFF_AUDd_left,-1.275295001,AUDd,left,1152,mPFF,0,FALSE,AUDd,Isocortex,1152_mPFF,AUDd_left
1152_mPFF_AUDd_right,0.576237033,AUDd,right,1152,mPFF,0.576237033,FALSE,AUDd,Isocortex,1152_mPFF,AUDd_right
1152_mPFF_AUDp_right,0.6539211,AUDp,right,1152,mPFF,0.6539211,FALSE,AUDp,Isocortex,1152_mPFF,AUDp_right
1152_mPFF_AUDv_left,-3.305214234,AUDv,left,1152,mPFF,0,FALSE,AUDv,Isocortex,1152_mPFF,AUDv_left
1152_mPFF_AUDv_right,0.429198654,AUDv,right,1152,mPFF,0.429198654,FALSE,AUDv,Isocortex,1152_mPFF,AUDv_right
1152_mPFF_AVPV_left,-0.20971491,AVPV,left,1152,mPFF,0,FALSE,AVPV,HY,1152_mPFF,AVPV_left
1152_mPFF_AVPV_right,-0.253676472,AVPV,right,1152,mPFF,0,FALSE,AVPV,HY,1152_mPFF,AVPV_right
1152_mPFF_BLA_left,-1.086479673,BLA,left,1152,mPFF,0,FALSE,BLA,CTXsp,1152_mPFF,BLA_left
1152_mPFF_BLA_right,0.199715143,BLA,right,1152,mPFF,0.199715143,FALSE,BLA,CTXsp,1152_mPFF,BLA_right
1152_mPFF_BMA_left,-0.812475208,BMA,left,1152,mPFF,0,FALSE,BMA,CTXsp,1152_mPFF,BMA_left
1152_mPFF_BMA_right,0.329327793,BMA,right,1152,mPFF,0.329327793,FALSE,BMA,CTXsp,1152_mPFF,BMA_right
1152_mPFF_CA1_left,0.660400857,CA1,left,1152,mPFF,0.660400857,FALSE,CA1,HPF,1152_mPFF,CA1_left
1152_mPFF_CA1_right,0.74887361,CA1,right,1152,mPFF,0.74887361,FALSE,CA1,HPF,1152_mPFF,CA1_right
1152_mPFF_CA2_left,0.362761985,CA2,left,1152,mPFF,0.362761985,FALSE,CA2,HPF,1152_mPFF,CA2_left
1152_mPFF_CA2_right,0.860477185,CA2,right,1152,mPFF,0.860477185,FALSE,CA2,HPF,1152_mPFF,CA2_right
1152_mPFF_CA3_left,0.161506553,CA3,left,1152,mPFF,0.161506553,FALSE,CA3,HPF,1152_mPFF,CA3_left
1152_mPFF_CA3_right,0.253893164,CA3,right,1152,mPFF,0.253893164,FALSE,CA3,HPF,1152_mPFF,CA3_right
1152_mPFF_CB_left,-1.499280051,CB,left,1152,mPFF,0,FALSE,CB,CB,1152_mPFF,CB_left
1152_mPFF_CB_right,-0.148045526,CB,right,1152,mPFF,0,FALSE,CB,CB,1152_mPFF,CB_right
1152_mPFF_CEA_left,-0.118233462,CEA,left,1152,mPFF,0,FALSE,CEA,STR,1152_mPFF,CEA_left
1152_mPFF_CEA_right,0.648960393,CEA,right,1152,mPFF,0.648960393,FALSE,CEA,STR,1152_mPFF,CEA_right
1152_mPFF_CLA_left,-0.256063693,CLA,left,1152,mPFF,0,FALSE,CLA,CTXsp,1152_mPFF,CLA_left
1152_mPFF_CLA_right,0.258445174,CLA,right,1152,mPFF,0.258445174,FALSE,CLA,CTXsp,1152_mPFF,CLA_right
1152_mPFF_CL_left,0.426496392,CL,left,1152,mPFF,0.426496392,FALSE,CL,TH,1152_mPFF,CL_left
1152_mPFF_CL_right,0.587254038,CL,right,1152,mPFF,0.587254038,FALSE,CL,TH,1152_mPFF,CL_right
1152_mPFF_CM_left,-0.010551766,CM,left,1152,mPFF,0,FALSE,CM,TH,1152_mPFF,CM_left
1152_mPFF_CM_right,-0.285221186,CM,right,1152,mPFF,0,FALSE,CM,TH,1152_mPFF,CM_right
1152_mPFF_COA_left,-0.348432683,COA,left,1152,mPFF,0,FALSE,COA,OLF,1152_mPFF,COA_left
1152_mPFF_COA_right,0.179912442,COA,right,1152,mPFF,0.179912442,FALSE,COA,OLF,1152_mPFF,COA_right
1152_mPFF_COAp_right,0.079073895,COAp,right,1152,mPFF,0.079073895,FALSE,COA,OLF,1152_mPFF,COAp_right
1152_mPFF_CP_left,0.01403594,CP,left,1152,mPFF,0.01403594,FALSE,CP,STR,1152_mPFF,CP_left
1152_mPFF_CP_right,0.142006298,CP,right,1152,mPFF,0.142006298,FALSE,CP,STR,1152_mPFF,CP_right
1152_mPFF_CS_left,0.040231679,CS,left,1152,mPFF,0.040231679,FALSE,CS,P,1152_mPFF,CS_left
1152_mPFF_CS_right,0.409262668,CS,right,1152,mPFF,0.409262668,FALSE,CS,P,1152_mPFF,CS_right
1152_mPFF_CTXsp_left,-0.613490396,CTXsp,left,1152,mPFF,0,FALSE,CTXsp,CTXsp,1152_mPFF,CTXsp_left
1152_mPFF_CTXsp_right,0.306079297,CTXsp,right,1152,mPFF,0.306079297,FALSE,CTXsp,CTXsp,1152_mPFF,CTXsp_right
1152_mPFF_DG_left,0.266892786,DG,left,1152,mPFF,0.266892786,FALSE,DG,HPF,1152_mPFF,DG_left
1152_mPFF_DG_right,0.260095577,DG,right,1152,mPFF,0.260095577,FALSE,DG,HPF,1152_mPFF,DG_right
1152_mPFF_DMH_left,0.00960938,DMH,left,1152,mPFF,0.00960938,FALSE,DMH,HY,1152_mPFF,DMH_left
1152_mPFF_DMH_right,0.092688797,DMH,right,1152,mPFF,0.092688797,FALSE,DMH,HY,1152_mPFF,DMH_right
1152_mPFF_DR_left,0.177404599,DR,left,1152,mPFF,0.177404599,FALSE,DR,MB,1152_mPFF,DR_left
