uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_ACAd_left,0.833196099,ACAd,left,app,0.833196099,FALSE,ACA,Isocortex,app,ACAd_left
app_ACAd_right,0.772100275,ACAd,right,app,0.772100275,FALSE,ACA,Isocortex,app,ACAd_right
app_ACAv_left,0.875141083,ACAv,left,app,0.875141083,FALSE,ACA,Isocortex,app,ACAv_left
app_ACAv_right,0.794278188,ACAv,right,app,0.794278188,FALSE,ACA,Isocortex,app,ACAv_right
app_ACB_left,0.715994687,ACB,left,app,0.715994687,FALSE,ACB,STR,app,ACB_left
app_ACB_right,0.666654867,ACB,right,app,0.666654867,FALSE,ACB,STR,app,ACB_right
app_AHN_left,0.672523202,AHN,left,app,0.672523202,FALSE,AHN,HY,app,AHN_left
app_AHN_right,0.423050664,AHN,right,app,0.423050664,FALSE,AHN,HY,app,AHN_right
app_AId_left,0.90980165,AId,left,app,0.90980165,FALSE,AI,Isocortex,app,AId_left
app_AId_right,0.866356579,AId,right,app,0.866356579,FALSE,AI,Isocortex,app,AId_right
app_AIp_left,0.977202557,AIp,left,app,0.977202557,FALSE,AI,Isocortex,app,AIp_left
app_AIp_right,0.879107199,AIp,right,app,0.879107199,FALSE,AI,Isocortex,app,AIp_right
app_AIv_left,0.811086307,AIv,left,app,0.811086307,FALSE,AI,Isocortex,app,AIv_left
app_AIv_right,0.755549993,AIv,right,app,0.755549993,FALSE,AI,Isocortex,app,AIv_right
app_alv_left,0.79426314,alv,left,app,0.79426314,TRUE,alv,fiber tracts,app,alv_left
app_alv_right,0.704387173,alv,right,app,0.704387173,TRUE,alv,fiber tracts,app,alv_right
app_amc_left,0.959019735,amc,left,app,0.959019735,TRUE,amc,fiber tracts,app,amc_left
app_amc_right,0.879808264,amc,right,app,0.879808264,TRUE,amc,fiber tracts,app,amc_right
app_AON_left,0.756986031,AON,left,app,0.756986031,FALSE,AON,OLF,app,AON_left
app_AON_right,0.74646208,AON,right,app,0.74646208,FALSE,AON,OLF,app,AON_right
app_APN_left,0.65016556,APN,left,app,0.65016556,FALSE,APN,MB,app,APN_left
