uniqueID,preLimVal,region,hemi,mouse,genotype,mpi,postLimVal,removeRegion,parent,major,x,y
2314_app_9_ACAd_left,-1.474000111,ACAd,left,2314,app,9,-1.474000111,FALSE,ACA,Isocortex,2314_app_9,ACAd_left
2314_app_9_ACAd_right,-1.488153617,ACAd,right,2314,app,9,-1.488153617,FALSE,ACA,Isocortex,2314_app_9,ACAd_right
2314_app_9_ACAv_left,-1.138037537,ACAv,left,2314,app,9,-1.138037537,FALSE,ACA,Isocortex,2314_app_9,ACAv_left
2314_app_9_ACAv_right,-1.412288388,ACAv,right,2314,app,9,-1.412288388,FALSE,ACA,Isocortex,2314_app_9,ACAv_right
2314_app_9_ACB_left,-1.325585214,ACB,left,2314,app,9,-1.325585214,FALSE,ACB,STR,2314_app_9,ACB_left
2314_app_9_ACB_right,-1.148241451,ACB,right,2314,app,9,-1.148241451,FALSE,ACB,STR,2314_app_9,ACB_right
2314_app_9_AId_left,-1.38567213,AId,left,2314,app,9,-1.38567213,FALSE,AI,Isocortex,2314_app_9,AId_left
2314_app_9_AId_right,-1.598100671,AId,right,2314,app,9,-1.598100671,FALSE,AI,Isocortex,2314_app_9,AId_right
2314_app_9_AIp_left,-1.520536633,AIp,left,2314,app,9,-1.520536633,FALSE,AI,Isocortex,2314_app_9,AIp_left
2314_app_9_AIp_right,-1.072680767,AIp,right,2314,app,9,-1.072680767,FALSE,AI,Isocortex,2314_app_9,AIp_right
2314_app_9_AIv_left,-1.405749773,AIv,left,2314,app,9,-1.405749773,FALSE,AI,Isocortex,2314_app_9,AIv_left
2314_app_9_AIv_right,-1.546929562,AIv,right,2314,app,9,-1.546929562,FALSE,AI,Isocortex,2314_app_9,AIv_right
2314_app_9_AON_left,-1.686829188,AON,left,2314,app,9,-1.686829188,FALSE,AON,OLF,2314_app_9,AON_left
2314_app_9_AON_right,-1.248611174,AON,right,2314,app,9,-1.248611174,FALSE,AON,OLF,2314_app_9,AON_right
2314_app_9_APN_left,-0.978497066,APN,left,2314,app,9,-0.978497066,FALSE,APN,MB,2314_app_9,APN_left
2314_app_9_APN_right,-1.579312775,APN,right,2314,app,9,-1.579312775,FALSE,APN,MB,2314_app_9,APN_right
2314_app_9_APr_left,-1.546256734,APr,left,2314,app,9,-1.546256734,FALSE,APr,HPF,2314_app_9,APr_left
2314_app_9_APr_right,-0.91069822,APr,right,2314,app,9,-0.91069822,FALSE,APr,HPF,2314_app_9,APr_right
2314_app_9_AQ_left,0.029776629,AQ,left,2314,app,9,0.029776629,TRUE,AQ,VS,2314_app_9,AQ_left
2314_app_9_AQ_right,-0.050144174,AQ,right,2314,app,9,-0.050144174,TRUE,AQ,VS,2314_app_9,AQ_right
2314_app_9_ARH_left,-1.098837442,ARH,left,2314,app,9,-1.098837442,FALSE,ARH,HY,2314_app_9,ARH_left
2314_app_9_ARH_right,-0.950414433,ARH,right,2314,app,9,-0.950414433,FALSE,ARH,HY,2314_app_9,ARH_right
2314_app_9_AT_left,-1.012353118,AT,left,2314,app,9,-1.012353118,FALSE,AT,MB,2314_app_9,AT_left
2314_app_9_AT_right,-0.435767303,AT,right,2314,app,9,-0.435767303,FALSE,AT,MB,2314_app_9,AT_right
2314_app_9_AUDd_left,-1.678564885,AUDd,left,2314,app,9,-1.678564885,FALSE,AUDd,Isocortex,2314_app_9,AUDd_left
2314_app_9_AUDd_right,-0.902893991,AUDd,right,2314,app,9,-0.902893991,FALSE,AUDd,Isocortex,2314_app_9,AUDd_right
2314_app_9_AUDp_left,-1.740078058,AUDp,left,2314,app,9,-1.740078058,FALSE,AUDp,Isocortex,2314_app_9,AUDp_left
2314_app_9_AUDp_right,-1.368585333,AUDp,right,2314,app,9,-1.368585333,FALSE,AUDp,Isocortex,2314_app_9,AUDp_right
2314_app_9_AUDpo_left,-1.616054166,AUDpo,left,2314,app,9,-1.616054166,FALSE,AUDpo,Isocortex,2314_app_9,AUDpo_left
2314_app_9_AUDpo_right,-1.335053888,AUDpo,right,2314,app,9,-1.335053888,FALSE,AUDpo,Isocortex,2314_app_9,AUDpo_right
2314_app_9_AUDv_left,-1.658126215,AUDv,left,2314,app,9,-1.658126215,FALSE,AUDv,Isocortex,2314_app_9,AUDv_left
2314_app_9_AUDv_right,-1.160448367,AUDv,right,2314,app,9,-1.160448367,FALSE,AUDv,Isocortex,2314_app_9,AUDv_right
2314_app_9_BLA_left,-1.089218099,BLA,left,2314,app,9,-1.089218099,FALSE,BLA,CTXsp,2314_app_9,BLA_left
2314_app_9_BLA_right,-0.74872889,BLA,right,2314,app,9,-0.74872889,FALSE,BLA,CTXsp,2314_app_9,BLA_right
2314_app_9_BMA_left,-0.95332081,BMA,left,2314,app,9,-0.95332081,FALSE,BMA,CTXsp,2314_app_9,BMA_left
2314_app_9_BMA_right,-0.59679439,BMA,right,2314,app,9,-0.59679439,FALSE,BMA,CTXsp,2314_app_9,BMA_right
2314_app_9_CA1_left,-0.160205742,CA1,left,2314,app,9,-0.160205742,FALSE,CA1,HPF,2314_app_9,CA1_left
2314_app_9_CA1_right,0.444645182,CA1,right,2314,app,9,0.444645182,FALSE,CA1,HPF,2314_app_9,CA1_right
2314_app_9_CA2_left,-0.386855141,CA2,left,2314,app,9,-0.386855141,FALSE,CA2,HPF,2314_app_9,CA2_left
2314_app_9_CA2_right,0.928550427,CA2,right,2314,app,9,0.928550427,FALSE,CA2,HPF,2314_app_9,CA2_right
2314_app_9_CA3_left,-0.285331176,CA3,left,2314,app,9,-0.285331176,FALSE,CA3,HPF,2314_app_9,CA3_left
2314_app_9_CA3_right,0.701339419,CA3,right,2314,app,9,0.701339419,FALSE,CA3,HPF,2314_app_9,CA3_right
2314_app_9_CB_left,-2.978106172,CB,left,2314,app,9,-2,FALSE,CB,CB,2314_app_9,CB_left
2314_app_9_CB_right,-5,CB,right,2314,app,9,-2,FALSE,CB,CB,2314_app_9,CB_right
2314_app_9_CEA_left,-1.057814963,CEA,left,2314,app,9,-1.057814963,FALSE,CEA,STR,2314_app_9,CEA_left
2314_app_9_CEA_right,-0.800547136,CEA,right,2314,app,9,-0.800547136,FALSE,CEA,STR,2314_app_9,CEA_right
2314_app_9_CLA_left,-1.718766713,CLA,left,2314,app,9,-1.718766713,FALSE,CLA,CTXsp,2314_app_9,CLA_left
2314_app_9_CLA_right,-1.519668154,CLA,right,2314,app,9,-1.519668154,FALSE,CLA,CTXsp,2314_app_9,CLA_right
2314_app_9_CLI_left,-0.341726229,CLI,left,2314,app,9,-0.341726229,FALSE,CLI,MB,2314_app_9,CLI_left
2314_app_9_CLI_right,0.085391757,CLI,right,2314,app,9,0.085391757,FALSE,CLI,MB,2314_app_9,CLI_right
2314_app_9_CL_left,-1.45965122,CL,left,2314,app,9,-1.45965122,FALSE,CL,TH,2314_app_9,CL_left
2314_app_9_CL_right,-1.606603878,CL,right,2314,app,9,-1.606603878,FALSE,CL,TH,2314_app_9,CL_right
2314_app_9_CM_left,-2.095320139,CM,left,2314,app,9,-2,FALSE,CM,TH,2314_app_9,CM_left
2314_app_9_CM_right,-2.197089937,CM,right,2314,app,9,-2,FALSE,CM,TH,2314_app_9,CM_right
2314_app_9_COA_left,-1.327903519,COA,left,2314,app,9,-1.327903519,FALSE,COA,OLF,2314_app_9,COA_left
2314_app_9_COA_right,-1.153971003,COA,right,2314,app,9,-1.153971003,FALSE,COA,OLF,2314_app_9,COA_right
2314_app_9_COAp_left,-0.876161923,COAp,left,2314,app,9,-0.876161923,FALSE,COA,OLF,2314_app_9,COAp_left
2314_app_9_COAp_right,-0.452081276,COAp,right,2314,app,9,-0.452081276,FALSE,COA,OLF,2314_app_9,COAp_right
2314_app_9_CP_left,-1.725971396,CP,left,2314,app,9,-1.725971396,FALSE,CP,STR,2314_app_9,CP_left
2314_app_9_CP_right,-1.650871898,CP,right,2314,app,9,-1.650871898,FALSE,CP,STR,2314_app_9,CP_right
2314_app_9_CS_left,-0.700061165,CS,left,2314,app,9,-0.700061165,FALSE,CS,P,2314_app_9,CS_left
2314_app_9_CS_right,-0.523085084,CS,right,2314,app,9,-0.523085084,FALSE,CS,P,2314_app_9,CS_right
2314_app_9_CTXsp_left,-0.736792112,CTXsp,left,2314,app,9,-0.736792112,FALSE,CTXsp,CTXsp,2314_app_9,CTXsp_left
2314_app_9_CTXsp_right,-0.642620169,CTXsp,right,2314,app,9,-0.642620169,FALSE,CTXsp,CTXsp,2314_app_9,CTXsp_right
2314_app_9_DG_left,0.153422705,DG,left,2314,app,9,0.153422705,FALSE,DG,HPF,2314_app_9,DG_left
2314_app_9_DG_right,1.147622706,DG,right,2314,app,9,1.147622706,FALSE,DG,HPF,2314_app_9,DG_right
2314_app_9_DMH_left,-0.965893303,DMH,left,2314,app,9,-0.965893303,FALSE,DMH,HY,2314_app_9,DMH_left
2314_app_9_DMH_right,-0.850577262,DMH,right,2314,app,9,-0.850577262,FALSE,DMH,HY,2314_app_9,DMH_right
2314_app_9_DP_left,-1.566489679,DP,left,2314,app,9,-1.566489679,FALSE,DP,OLF,2314_app_9,DP_left
2314_app_9_DP_right,-1.02552497,DP,right,2314,app,9,-1.02552497,FALSE,DP,OLF,2314_app_9,DP_right
2314_app_9_DR_left,-0.793179153,DR,left,2314,app,9,-0.793179153,FALSE,DR,MB,2314_app_9,DR_left
2314_app_9_DR_right,-1.064181543,DR,right,2314,app,9,-1.064181543,FALSE,DR,MB,2314_app_9,DR_right
2314_app_9_DT_left,-5,DT,left,2314,app,9,-2,FALSE,DT,MB,2314_app_9,DT_left
2314_app_9_DT_right,-5,DT,right,2314,app,9,-2,FALSE,DT,MB,2314_app_9,DT_right
2314_app_9_ECT_left,-1.430182976,ECT,left,2314,app,9,-1.430182976,FALSE,ECT,Isocortex,2314_app_9,ECT_left
2314_app_9_ECT_right,-0.364172465,ECT,right,2314,app,9,-0.364172465,FALSE,ECT,Isocortex,2314_app_9,ECT_right
2314_app_9_ENTl_left,-0.608305837,ENTl,left,2314,app,9,-0.608305837,FALSE,ENT,HPF,2314_app_9,ENTl_left
2314_app_9_ENTl_right,0.710425708,ENTl,right,2314,app,9,0.710425708,FALSE,ENT,HPF,2314_app_9,ENTl_right
2314_app_9_ENTm_left,-0.679251472,ENTm,left,2314,app,9,-0.679251472,FALSE,ENT,HPF,2314_app_9,ENTm_left
2314_app_9_ENTm_right,0.403124127,ENTm,right,2314,app,9,0.403124127,FALSE,ENT,HPF,2314_app_9,ENTm_right
2314_app_9_EP_left,-1.424794539,EP,left,2314,app,9,-1.424794539,FALSE,EP,CTXsp,2314_app_9,EP_left
2314_app_9_EP_right,-0.841257281,EP,right,2314,app,9,-0.841257281,FALSE,EP,CTXsp,2314_app_9,EP_right
2314_app_9_EW_left,-2.28244806,EW,left,2314,app,9,-2,FALSE,EW,MB,2314_app_9,EW_left
2314_app_9_EW_right,-2.085626852,EW,right,2314,app,9,-2,FALSE,EW,MB,2314_app_9,EW_right
2314_app_9_Eth_left,-2.823157658,Eth,left,2314,app,9,-2,FALSE,Eth,TH,2314_app_9,Eth_left
2314_app_9_Eth_right,-2.806285292,Eth,right,2314,app,9,-2,FALSE,Eth,TH,2314_app_9,Eth_right
2314_app_9_FC_left,-0.736821317,FC,left,2314,app,9,-0.736821317,FALSE,FC,HPF,2314_app_9,FC_left
2314_app_9_FC_right,-0.340170565,FC,right,2314,app,9,-0.340170565,FALSE,FC,HPF,2314_app_9,FC_right
2314_app_9_FF_left,-1.660275977,FF,left,2314,app,9,-1.660275977,FALSE,FF,HY,2314_app_9,FF_left
2314_app_9_GU_left,-1.105702937,GU,left,2314,app,9,-1.105702937,FALSE,GU,Isocortex,2314_app_9,GU_left
2314_app_9_GU_right,-2.001933135,GU,right,2314,app,9,-2,FALSE,GU,Isocortex,2314_app_9,GU_right
2314_app_9_HATA_left,-0.498437917,HATA,left,2314,app,9,-0.498437917,FALSE,HATA,HPF,2314_app_9,HATA_left
2314_app_9_HATA_right,0.277792085,HATA,right,2314,app,9,0.277792085,FALSE,HATA,HPF,2314_app_9,HATA_right
2314_app_9_HPF_left,-0.685216519,HPF,left,2314,app,9,-0.685216519,FALSE,HPF,HPF,2314_app_9,HPF_left
2314_app_9_HPF_right,0.804475679,HPF,right,2314,app,9,0.804475679,FALSE,HPF,HPF,2314_app_9,HPF_right
2314_app_9_HY_left,-0.886889031,HY,left,2314,app,9,-0.886889031,FALSE,HY,HY,2314_app_9,HY_left
2314_app_9_HY_right,-0.753978465,HY,right,2314,app,9,-0.753978465,FALSE,HY,HY,2314_app_9,HY_right
2314_app_9_IA_left,-0.24761401,IA,left,2314,app,9,-0.24761401,FALSE,IA,STR,2314_app_9,IA_left
2314_app_9_IA_right,-0.754909806,IA,right,2314,app,9,-0.754909806,FALSE,IA,STR,2314_app_9,IA_right
2314_app_9_IC_left,-1.195097868,IC,left,2314,app,9,-1.195097868,FALSE,IC,MB,2314_app_9,IC_left
2314_app_9_IC_right,-1.840695155,IC,right,2314,app,9,-1.840695155,FALSE,IC,MB,2314_app_9,IC_right
2314_app_9_IF_left,-0.956413075,IF,left,2314,app,9,-0.956413075,FALSE,IF,MB,2314_app_9,IF_left
2314_app_9_IF_right,-0.452282187,IF,right,2314,app,9,-0.452282187,FALSE,IF,MB,2314_app_9,IF_right
2314_app_9_IGL_left,-1.738494954,IGL,left,2314,app,9,-1.738494954,FALSE,IGL,TH,2314_app_9,IGL_left
2314_app_9_IG_left,-5,IG,left,2314,app,9,-2,FALSE,IG,HPF,2314_app_9,IG_left
2314_app_9_IG_right,-5,IG,right,2314,app,9,-2,FALSE,IG,HPF,2314_app_9,IG_right
2314_app_9_IIIn_left,-1.100910465,IIIn,left,2314,app,9,-1.100910465,TRUE,IIIn,fiber tracts,2314_app_9,IIIn_left
2314_app_9_IIIn_right,-1.798188311,IIIn,right,2314,app,9,-1.798188311,TRUE,IIIn,fiber tracts,2314_app_9,IIIn_right
2314_app_9_ILA_left,-1.596034123,ILA,left,2314,app,9,-1.596034123,FALSE,ILA,Isocortex,2314_app_9,ILA_left
2314_app_9_ILA_right,-1.335989675,ILA,right,2314,app,9,-1.335989675,FALSE,ILA,Isocortex,2314_app_9,ILA_right
2314_app_9_IMD_left,-1.374984676,IMD,left,2314,app,9,-1.374984676,FALSE,IMD,TH,2314_app_9,IMD_left
