index,μA,μB,diff,category
1,0.0022617040543513574,0.0033490932959749104,0.001087389241623553,A only
2,0.07999704257262319,0.09046146921299729,0.0104644266403741,A only
3,0.010084498253996495,0.012979965334430266,0.0028954670804337713,A only
4,0.08053625224842881,0.09011292098177313,0.009576668733344326,A only
5,0.09468087198122985,0.1059348827029938,0.011254010721763949,A only
6,0.09092343293320064,0.10364127570999536,0.012717842776794719,A only
7,0.07955522335788544,0.09086268163067511,0.011307458272789672,A only
8,0.12799564222949109,0.13976333321519605,0.01176769098570496,A only
9,0.1297363800457926,0.14527486586269145,0.015538485816898845,A only
10,0.137482101668871,0.15160031583524963,0.014118214166378623,A only
11,0.428262984815232,0.4343066342042915,0.006043649389059491,both
12,0.10397390701905627,0.1525021890768527,0.048528282057796426,A only
13,0.11590357718834744,0.14111607967671377,0.02521250248836633,both
14,0.5773884063995759,0.6231063985287701,0.04571799212919425,both
15,0.10301582078286461,0.11302968363072856,0.010013862847863944,both
16,0.08584025690133607,0.09778370301322217,0.011943446111886108,both
17,0.48116115309738783,0.5005565597711629,0.01939540667377504,both
18,0.09089038797542068,0.10248650595131768,0.011596117975897005,both
19,0.09683012649225688,0.11321905900031244,0.016388932508055565,both
20,0.08350099349150403,0.09534920422017995,0.011848210728675923,both
21,0.08046563751588288,0.09030581261627207,0.00984017510038919,A only
22,0.08061265261519966,0.0923069210848893,0.011694268469689642,both
23,0.08030048888726966,0.09170984171738991,0.011409352830120248,A only
24,0.08265480726197047,0.09571220303518163,0.013057395773211161,both
25,0.10041959263269708,0.11877930325467519,0.01835971062197811,both
26,0.00913010174264834,0.011942881142808162,0.0028127794001598216,A only
27,0.0863003422374399,0.09801675275197873,0.011716410514538825,A only
28,0.004265357551220245,0.006524965148444978,0.0022596075972247335,A only
29,0.07627939468535513,0.09429893116021999,0.01801953647486486,A only
30,0.011560862034026976,0.016512161853068155,0.00495129981904118,A only
31,0.03481284428107719,0.04630923648501846,0.011496392203941268,A only
32,0.008342392858418866,0.01195171968844557,0.003609326830026703,A only
