gene,r,portion
Enpp5,0.42671613062390545,0.001
Slc4a9,-0.4283018038746685,0.001
Ace3,-0.44091379319051643,0.001
Rasa1,-0.4483431560439104,0.001
Olfr1276,-0.4527152690862257,0.001
Rtl8a,0.4796420770661786,0.001
Ndufb8,0.4367966383614112,0.001
Hspa2,-0.48038515304651813,0.001
Tns4,-0.43589377788852407,0.001
Pigh,-0.44786467261758817,0.001
Lgals3,-0.4329944054721074,0.001
Ppp3ca,-0.43530873087317296,0.001
Tbcb,0.46472198454752134,0.001
Erp44,0.4562059899985266,0.001
Slc26a6,-0.43434785888203054,0.001
Dmrtc1a,-0.4472900155827391,0.001
Niban2,-0.4262837479973407,0.001
Vsig8,-0.5018115152907092,0.001
Gm16367,-0.4311811213800522,0.001
Spx,-0.4347956425677921,0.001
Ugt1a5,-0.4271176386635903,0.001
Gstm5,0.48770740584168026,0.001
Serpinb5,-0.4386187195869399,0.001
Gapdhs,-0.42521487177587586,0.001
Zdhhc24,-0.4305372183785944,0.001
Atp6v1a,0.43524989361858235,0.001
Dynll2,0.46945931948026537,0.001
Pja1,0.42612594393098074,0.001
Ephx1,-0.4269548773164655,0.001
Tmem159,-0.43841843652277107,0.001
4930558K02Rik,-0.42820467161563547,0.001
Resp18,0.45813985672513846,0.001
Tktl1,-0.43279064346347745,0.001
Emc7,0.45546296689428795,0.001
Fermt1,-0.4322003756264944,0.001
Gm35586,-0.4530385981518434,0.001
Dnmbp,-0.43446440503152145,0.001
Fam47c,-0.4312155623958163,0.001
Map3k7,0.4321281684500535,0.001
Ccsap,-0.5122163438536358,0.001
Tbx21,-0.4258867695630099,0.001
2310057N15Rik,-0.4384693296448794,0.001
Gm30698,-0.4345095598520222,0.001
Exo5,-0.4445232521356985,0.001
Cachd1,0.43072949420840057,0.001
Maneal,0.45754938175154036,0.001
Mptx2,-0.4641609909785534,0.001
Aftph,0.42771956932329713,0.001
Esyt2,0.4454555518379563,0.001
Apol7c,-0.4243400894046963,0.001
Tmem114,-0.42569182468559114,0.001
Taar7a,-0.43165459403035195,0.001
Gm38821,-0.46331459788185597,0.001
Gm7995,-0.48069392292605856,0.001
Mas1,-0.4358679835451175,0.001
Wdpcp,-0.46679698092251215,0.001
Vmn1r1,-0.4440067781512206,0.001
Rsrp1,-0.4546104259309002,0.001
Gm36718,-0.435605967954504,0.001
Cgref1,-0.4327646338059288,0.001
Prdm13,-0.4594069477257997,0.001
Olfr1138,-0.453015264356733,0.001
Chrnb2,0.4303471296643224,0.001
Csnk1d,0.44938744873130326,0.001
Ttc13,-0.4478579824464646,0.001
Rnase2b,-0.45628761921026034,0.001
Cald1,-0.424080327284787,0.001
Dazap1,0.42698108644034527,0.001
Itgb2,-0.42714458696723795,0.001
Zmynd8,-0.43325639295305474,0.001
Wfdc17,-0.42401488527605397,0.001
Adm2,-0.431419691745931,0.001
Nid2,-0.43570689741373575,0.001
Selenbp1,-0.44618426234954284,0.001
Npc2,0.43235466230440933,0.001
Ces2h,-0.44452605598514594,0.001
Gdi1,0.4609962559461276,0.001
Cypt3,-0.439043014827636,0.001
Tpbpa,-0.42959217803024674,0.001
Ccdc62,-0.430146711522131,0.001
Ahnak,-0.4290828800196077,0.001
Cdca3,-0.4313597906069675,0.001
Arhgap44,0.43543858465283514,0.001
Fxyd4,-0.4315741681535617,0.001
Stac3,-0.43665231353306777,0.001
Egr1,-0.4661507044370122,0.001
Creg1,0.4270069192461711,0.001
Olfr1412,-0.46005222502953297,0.001
Olfr1495,-0.44170953880163666,0.001
4930467E23Rik,-0.45223876092613435,0.001
Vmn1r4,-0.4338669627385468,0.001
Scd3,-0.4320542236906937,0.001
Aldh6a1,0.4336016687187897,0.001
Mmp9,-0.4559637237002547,0.001
Cyth3,-0.4284786196849461,0.001
Fcgbp,-0.4333039181113328,0.001
Nlrc5,-0.4710409646917343,0.001
Spsb1,-0.42685198590054285,0.001
Ppp1r26,-0.4371808685697933,0.001
Ccno,-0.4560020702429246,0.001
Vps54,-0.4329376210199579,0.001
Hoxa11,-0.4678856279884255,0.001
Clp1,-0.43498897782824714,0.001
Edn2,-0.43006251476038265,0.001
Fam209,-0.4252048921873258,0.001
Cd81,0.44003237673784995,0.001
Gm31035,-0.47217105440758317,0.001
Pigx,-0.4272782211448306,0.001
Mycbp2,0.42503231324421414,0.001
Olfr1346,-0.4301999651274207,0.001
Adam26b,-0.47169102900290266,0.001
Hal,-0.42818281124051505,0.001
Fes,-0.42673270092522203,0.001
Gpr50,-0.4553431645908124,0.001
Serpinb6b,-0.46630239789077843,0.001
Iqca,-0.45658699365055766,0.001
Gm12248,-0.44495624094459896,0.001
Vmn2r94,-0.43546241870176805,0.001
Uox,-0.4586657776756266,0.001
Olfr60,-0.43406732773058576,0.001
Chrna1,-0.4402129597948543,0.001
Wipf3,-0.4272126792076298,0.001
Ccnb3,-0.4411891336067157,0.001
Apod,0.43482666865143643,0.001
Timp1,-0.48304015939469724,0.001
Ms4a1,-0.4324178312302571,0.001
Mcmdc2,-0.43900355949947634,0.001
Polr1h,-0.4757098225774765,0.001
Zfp143,-0.43778366666387725,0.001
Entpd8,-0.4486678919881779,0.001
Araf,0.49311206965511073,0.001
Zranb3,-0.4436691587654565,0.001
Slc52a2,-0.4320167629005099,0.001
Lipg,-0.47083025745904517,0.001
Hyal4,-0.4736421612868511,0.001
Praf2,0.44713094765055555,0.001
Aldh3a1,-0.4399640111702969,0.001
Smarcc1,-0.4284300680231385,0.001
Capns1,0.45636153359601134,0.001
Defb19,-0.42724763516813064,0.001
Golga2,0.47212349173436485,0.001
Cacybp,0.45706855278507663,0.001
Zbtb48,-0.4375549595856458,0.001
Ccdc182,-0.4410201049369542,0.001
Fam174b,-0.4640939756430757,0.001
Ndufv2,0.47891051172063037,0.001
E2f5,-0.4562376895318674,0.001
Dsg2,-0.4366327755379533,0.001
Rassf10,-0.4574581644142097,0.001
Il5ra,-0.44471554452349543,0.001
Thegl,-0.4438298711928382,0.001
Meikin,-0.45438411268301515,0.001
Vmn1r45,-0.447474109830142,0.001
Mobp,0.4570718177669694,0.001
Zfp689,-0.43166037819507785,0.001
Atp6v0c,0.43991319457565053,0.001
Smr3a,-0.43217084881350104,0.001
Cfl2,0.4322100655085569,0.001
Olfr446,-0.45591723953302016,0.001
Fxyd2,-0.43482285570993895,0.001
Clec11a,-0.434853644760237,0.001
Cfap91,-0.47057052819891015,0.001
Ska1,-0.4289302930649617,0.001
Col1a1,-0.4241468660630271,0.001
Klk15,-0.42386441596110774,0.001
Vcp,0.46168153827389663,0.001
Abca12,-0.4586608187310227,0.001
Prrx2,-0.4718484970816726,0.001
Magix,-0.44698824976898993,0.001
Slc10a1,-0.43369479104440795,0.001
Gpr119,-0.4337520059881944,0.001
Gm21188,-0.4240043586155125,0.001
Lamtor4,0.4281243378539146,0.001
Acot3,-0.43263234355784713,0.001
Prx,-0.441549896946147,0.001
Psmc3ip,-0.43322588782017624,0.001
Ugt1a7c,-0.4335488811394429,0.001
Efna4,-0.4259423837786208,0.001
Iqca1l,-0.4314529586306582,0.001
Bcl6b,-0.44017890464692866,0.001
Oprl1,0.44667441081662157,0.001
Fcrlb,-0.4301669040658321,0.001
Zfp384,-0.4400735163416412,0.001
Gm5460,-0.43845313761015203,0.001
Rdh1,-0.47241655011499967,0.001
Sptlc2,0.44011950324673416,0.001
Rab25,-0.43631118755423975,0.001
Cd300lf,-0.467713011936249,0.001
Vmn1r90,-0.4300535290593527,0.001
Lipm,-0.438409146723363,0.001
Zdhhc22,0.44299756239296806,0.001
Rnf165,-0.4257872256855958,0.001
Cdsn,-0.48077117407874953,0.001
Defb9,-0.46802035607990594,0.001
Rarb,-0.4747126061093673,0.001
Sbds,-0.435913600573169,0.001
Bcas1,-0.4710289594012944,0.001
Rep15,-0.4347810014428376,0.001
Adap2,-0.4312166219139963,0.001
Tnfsf4,-0.436536982191988,0.001
A930004D18Rik,-0.47071176297317635,0.001
Myo6,0.45726259270173975,0.001
Ccdc39,-0.4434212757704489,0.001
Prss47,-0.4297741081711914,0.001
Olfr851,-0.45095039129685976,0.001
C1ra,-0.4432450156065513,0.001
Wdr55,-0.4400042516804293,0.001
Wnt9a,-0.4679470851590206,0.001
Desi2,-0.4422299969463668,0.001
Rest,-0.4700642769935361,0.001
Olfr791,-0.4932635351820837,0.001
Mrgpra6,-0.4422217965657027,0.001
Gli3,-0.4622652570460186,0.001
C1ql4,-0.4281990237957875,0.001
Tmem174,-0.4397509762080004,0.001
E130218I03Rik,-0.4288284735578895,0.001
Ctcfl,-0.4325704699150321,0.001
Wdr53,-0.4284016821511149,0.001
Sectm1a,-0.4417055847933914,0.001
Krtap16-3,-0.4383227808471378,0.001
Olfml2a,-0.4486295957422332,0.001
Smarcc2,0.46864069110321555,0.001
Fto,0.5444734826123854,0.001
Serpina3k,-0.485032839463749,0.001
Efna1,-0.4250294318994138,0.001
Akap3,-0.43114813959033205,0.001
Slc25a54,-0.4293336109577372,0.001
Vmn1r85,-0.4360110518286733,0.001
Angptl3,-0.45313532771568604,0.001
Corin,-0.4436001037469143,0.001
Pilrb1,-0.46865252637177124,0.001
Cryzl2,-0.4329896023489165,0.001
Pih1d1,-0.42628438439990957,0.001
Prom2,-0.4637003813528302,0.001
Plekhd1,0.43082357377212444,0.001
Fam90a1b,-0.43171945799448863,0.001
Clrn3,-0.4280293006930896,0.001
Nme4,-0.467717003204791,0.001
Adam34,-0.4419476914304218,0.001
Sh3pxd2a,-0.4519058345138357,0.001
Tas2r129,-0.43658687225688486,0.001
Arhgef37,-0.4271567511126446,0.001
Psmb11,-0.4476564542290678,0.001
Abcc4,-0.4283292383459857,0.001
Tasp1,0.43728677102557467,0.001
Tubb5,0.4431550702447307,0.001
Vstm4,-0.434482532993079,0.001
Mlip,-0.45321570858361176,0.001
Adipor1,0.4290965147404772,0.001
Mrpl3,0.43182650111557597,0.001
Piezo1,-0.44902522019810015,0.001
Ces1b,-0.4257142444680219,0.001
Adamtsl1,-0.45584144946065813,0.001
Pabpn1l,-0.44466736645021004,0.001
Gm5114,-0.44767805356320783,0.001
Trpm2,0.461505765472045,0.001
Trappc14,0.4625452479333599,0.001
Tceal9,0.45676775740664016,0.001
Mapk9,0.4865291204674457,0.001
Kcnj8,-0.42916499039913963,0.001
Eda,-0.4663641257956893,0.001
Wdfy4,-0.42669464937016083,0.001
Arhgap35,0.42963095692367864,0.001
Ccl24,-0.4641673591155944,0.001
Slc30a8,-0.44245825089070256,0.001
Ndn,0.48825859456699855,0.001
Slc36a3,-0.44276164883439295,0.001
Dxo,-0.4336057432196791,0.001
Olfr164,-0.45947057186182294,0.001
Trappc10,0.42732129778426076,0.001
H60b,-0.429034122411958,0.001
Rassf1,-0.43219213752519414,0.001
Prtg,-0.48523389362544567,0.001
Olfr1101,-0.436189382678602,0.001
Rint1,-0.4634068980136605,0.001
2010003K11Rik,-0.4268090911351762,0.001
Tmx4,0.5092520414592002,0.001
Slirp,0.46290153977489906,0.001
Ndufaf6,-0.4266517189216833,0.001
Spem2,-0.4356025977006531,0.001
Fxr2,0.4562064429835735,0.001
Dnah10,-0.44336034010882264,0.001
Palm3,-0.4292682215849539,0.001
Ywhab,0.44817499801412486,0.001
Ankrd54,-0.4265709521628628,0.001
Cyc1,0.4493821630964794,0.001
Acox2,-0.4237232134143249,0.001
Evc2,-0.46924622099097,0.001
Lmo1,-0.4331378242519689,0.001
Treml4,-0.4267595928603275,0.001
Olfr284,-0.4391980761851027,0.001
Hjurp,0.4712744392378248,0.001
Cd177,-0.443924861422544,0.001
Dlx4,-0.4664781479934287,0.001
Kcnq5,-0.43485732115068315,0.001
Pemt,-0.4524160391541684,0.001
Tsn,0.4635277164033903,0.001
Rabl6,0.45316395934996834,0.001
Chrna10,-0.43728722915718693,0.001
Gm36672,-0.4379023882533627,0.001
Elf3,-0.45785454838969303,0.001
Mdh2,0.42499541257864965,0.001
A630073D07Rik,-0.4270357578041532,0.001
Pspn,-0.45183594887436307,0.001
Sec14l3,-0.4653411243649696,0.001
Efhb,-0.42767056799917763,0.001
Ikbke,-0.4316812418574312,0.001
Serpinb9d,-0.44343008323191047,0.001
Polg2,-0.43765106248242847,0.001
Rhox5,-0.42732050552431866,0.001
Gabarap,0.45794434566487585,0.001
Acvr1c,-0.42618832712629684,0.001
Sfi1,-0.4252607564640912,0.001
Sdk1,-0.4445077858978049,0.001
Prr19,-0.4260318586358388,0.001
Mex3c,-0.47766723619247164,0.001
Krt39,-0.4374074993736094,0.001
Ms4a13,-0.4519573702439107,0.001
