Label,r
Frmd4a,0.4305239898598565
Trim38,-0.4321653495484855
Kprp,-0.43491711088167817
Cd69,-0.45126319008172927
Cst10,-0.43053409209823634
Fkbp2,0.4529659424512802
Klrh1,-0.44115022900958756
Aktip,0.48235567013692815
Ibsp,-0.4531628717288525
Hoxd13,-0.43087402412971887
Ppp1r3c,-0.4286268036058875
Slc46a2,-0.431431813041
Mrgprd,-0.4336909765989324
Slc46a1,-0.4370147570145682
Gm36327,-0.4374327560643829
Ska3,-0.43832701849021716
Pbld1,-0.45878033854184397
Ceacam19,-0.4410444372466362
H4c8,-0.43151578452223915
Epyc,-0.44247644094072636
Arpc1b,-0.43230820698032146
Hsp90b1,0.4778213255686591
Zfp708,-0.4406350215619246
Rab42,-0.43777807846665523
Tpt1,0.4450617449903027
Hs3st2,-0.4336477137523116
Cdk17,-0.4611825120934121
Olfr248,-0.4321592058965971
Zscan20,-0.4343368772273707
Orm3,-0.4379048908760307
Ncf1,-0.4388122476650964
Majin,-0.4591955413389045
Olfr1442,-0.4353821120283012
A930009A15Rik,-0.4282681606395036
Mms22l,-0.43559617185196364
Eya1,-0.46886406638101563
Mmd,-0.4352002306710425
Gm14569,-0.49499916913694625
Rag1,-0.4464508837917004
Itpkc,-0.4469987051128028
Dtnb,-0.4350101653099396
Cox7a2,0.43511034883940347
Esrp2,-0.44860861774756655
Hpx,-0.42746842098651494
Gm13305,-0.43860159225821044
A630023A22Rik,-0.4381740208084629
Gm8050,-0.4336551250995905
Fas,-0.43206779717173
Zbtb34,-0.44437536795062266
Upf2,-0.44012340185557447
Crct1,-0.44830788445346836
Strit1,-0.4347765320415745
Cd5,-0.45672186528151715
Park7,0.4432949207232045
Emcn,-0.4559086343009817
Kcnk15,-0.43862104140427016
Mta3,0.46227484357915216
Gm2237,-0.4443122324296863
Grpel1,0.46705714732415315
Olfr530,-0.4535318872097147
4931414P19Rik,-0.4500736228582232
Olfr354,-0.44495958492759774
Osr1,-0.4433374975475127
Adar,0.4491963132281578
Usp50,-0.43254321973820875
C1qtnf9,-0.44749890212626314
Dnaja2,0.4346426130611489
Nupl1,-0.4352476380248013
Rimbp3,-0.4344936379180154
Scn2b,0.4279239255053475
Svs6,-0.4278578473290567
Serpinb2,-0.43567501571773976
Enpp7,-0.43547287592345807
Prl3d1,-0.4490979023002781
4921511C20Rik,-0.4518307206207595
Gm11639,-0.43963806178391707
6030468B19Rik,-0.44507457758711066
Cela3a,-0.44782859370303907
Hesx1,-0.45998025196071934
Pramel15,-0.4391957584318249
Sardh,-0.4484427829785739
Cdt1,-0.4366223571978271
Psrc1,-0.46118419846289904
Klhl40,-0.4418451527314481
Klhl14,-0.4428919780750989
Magea13,-0.4499509165947172
Lzts3,-0.4501797801814038
Gpr55,-0.4383420390531604
Tnni1,-0.4397804017653195
Actg2,-0.43091601561133475
Pole,-0.4303581648687179
Ajuba,-0.44436738023679184
Zkscan4,-0.4343323491221486
Zfp775,-0.4524132471425223
Abhd16b,-0.43984399181550404
4931400O07Rik,-0.4363790469827211
Olfr1061,-0.4328674460717522
Cmah,-0.44451932057922383
Adamdec1,-0.43307554965531714
Tmem274,-0.430712027318495
Mef2c,-0.44649080210714254
Hipk2,0.4333691647478679
Gm11733,-0.4424727140983968
Defb41,-0.4468637813693853
Wrn,-0.44468417673615307
Slc16a8,-0.4347179020915588
Dnajc5b,-0.4459005491809301
Rgs12,-0.45433579359299237
Adam33,-0.4600152132780402
Cldn4,-0.4370918950046653
Kif27,-0.4310126956876461
Lrrk2,-0.46346532017345476
Csta3,-0.4374277675967627
Mnd1,-0.4420182939972042
Eng,-0.43996503711661994
Zfp276,-0.44415553776930716
Rabl3,-0.43884544469978387
Olfr1426,-0.44600180529294886
Acsm3,-0.437696253806276
Ccdc113,-0.4425081760291973
Prl,-0.44071555644481547
Vmn1r83,-0.43797651940475507
Nrbp2,0.44312289154523427
Bag1,0.43025789081006316
Mrgprb4,-0.4387540148845558
Nfkbia,-0.4361477266671044
Olfr109,-0.43100092801115497
Podxl2,0.47672864407238214
Olfr112,-0.4477231287736012
Vmn2r70,-0.43355450878112406
Prl6a1,-0.44367005625866035
Mrgpra7,-0.45025376053680444
Cdiptos,-0.4664768020006237
Scgb1b10,-0.4480603764892003
Arhgef11,0.47396745483096414
Sprr3,-0.46768135316607146
Kcna5,-0.4407783073857655
Caprin1,0.44529008898013017
Gm10100,-0.43286276595500717
Defb10,-0.4349606174449763
Eif3f,0.4574400629723325
A730049H05Rik,-0.44018634698409786
7420426K07Rik,-0.4452731808306933
Wfdc9,-0.4321616181939244
Chsy3,-0.4350085892603543
Rgs21,-0.43594990924381055
Pik3r5,-0.428951257172494
Klhl11,0.4879819119011278
Olfr1180,-0.4420485942005752
Ptk2b,-0.45350758613467135
Lrrc19,-0.43024982266867934
Cyp2c29,-0.43442688826858017
Zfp382,-0.4328091658831832
Kng2,-0.4451447861927827
Pklr,-0.4344859232790643
Angptl4,-0.44204984663189834
Hspa4,0.4452162124227571
Papolb,-0.4465301965413868
Usp17lb,-0.4317925894351401
Dynlt1a,-0.4457304942699616
Ache,0.46608893597398615
Pam16,0.45944973981696285
Scgb2b12,-0.44494414619527745
Gm45943,-0.4275771251163459
Oog4,-0.43524057970725294
Vmn1r70,-0.44159480358184877
Vmn1r204,-0.4578031653740913
Ctcf,-0.43763678261431227
Islr2,-0.4334739200003406
Spon2,-0.43498681579872944
Gal3st2c,-0.44732703691874204
Spink11,-0.4307149881744745
Vmn2r101,-0.44667812093630177
Sh2b3,-0.43199451722797977
Mepe,-0.44258944098641695
Wnk2,0.4359729031962744
Nlrp14,-0.44997879808391894
4930544D05Rik,-0.44131852294120216
Ctf1,-0.44185518122204814
Ces1e,-0.4470007457888324
Hcn2,0.4506584213044242
Mia2,0.4390602645565617
Zxdb,-0.45738853365298493
Ugt2a3,-0.47521268507069675
Ccdc69,-0.4259076071337041
Rln1,-0.4329487113207209
Stat1,-0.4450761762871826
BC029722,0.45154468703153644
Trim42,-0.4520628169219132
Dffb,-0.44251011765140347
Qtrt1,-0.4352267692634042
Matn2,-0.4317790918251994
Krt75,-0.438195116361325
Pla2g4e,-0.43073031615127144
Krt1,-0.43694072725006006
Olfr1341,-0.42802066936311034
Gpr1,-0.4335844042103443
Rgr,-0.42775225591145316
Pik3r2,-0.43002150771998393
Nek2,-0.438423949955169
Cep72,-0.4325641032701921
Mageb11,-0.43771334716104526
4930470P17Rik,-0.44670611759351164
Tufm,0.43246127119192385
Pnisr,0.43287363912239024
Rasl10b,-0.44647470892613644
Nek5,-0.4284415122989351
Dock8,-0.44455274060059535
Aifm3,0.43080920291255526
Prkab2,-0.46688093246937423
Maea,0.461494902490311
Mia,-0.4294355816199992
Eif1b,0.43513814381679694
Tbce,0.4759841214899625
Lmod2,-0.43719727385115653
Sh2d5,-0.4329002238078077
Atp5e,0.45849326285645653
Sh2d4b,-0.45217215699562924
Vax2,-0.45502961195448516
Pde2a,-0.4421924829412121
Olfr324,-0.45560526831838766
Chrng,-0.451013910467013
Gpr137,0.42948851960889134
Btc,-0.4532389981803714
Mchr1,-0.431441701893558
Smoc2,-0.45955246695897445
Dusp14,-0.4679332356661685
Prss27,-0.43004001294823047
Sbk1,-0.42878131084817034
Fam227b,-0.4317603001546044
Olfr1447,-0.4482394210578208
Tulp2,-0.44557903052247305
Fgf5,-0.44354359597052717
Tubb4b,0.47167181734531305
Adora2b,-0.4384880982698738
Scgb2b26,-0.4742600110846664
Cd48,-0.43258206256982223
Ptpn20,-0.45449564519261704
Scgb1b27,-0.4505342100407107
Thoc7,0.4328220169073701
EGFP/EYFP/ECFP,-0.43831357352687117
Zfp764,-0.4289669070630427
Cyp4a32,-0.43758168777072454
Adgrf1,-0.4382030113107903
Dupd1,-0.43904718608282445
Mgrn1,0.4491874570412674
Ndufab1,0.4356750259199967
Olfr643,-0.438322603238289
Urgcp,0.4864103280023439
Ogdh,0.44813544541766515
Ang3,-0.4477311637372691
Gm33888,-0.43632993493279126
Tmed10,0.48082569253953233
Tro,0.4684640408423227
Ceacam15,-0.46005297156387603
Kcnj15,-0.4617617456248849
Bpifc,-0.4424697455673634
Eef1g,0.4653730705756863
Copg1,0.4802635037178162
Fundc1,0.45704715298098797
Gdpd3,-0.4294965802065105
4930486L24Rik,-0.4264133992439547
Cryba1,-0.4371843653882551
Tmem229b,0.4492989302565635
Ppp1r3d,-0.4397122961590132
Ccdc112,-0.4370879528617845
Vmn2r23,-0.43537934167103753
Ccdc106,-0.4425754922561183
Epha3,-0.43516987011189734
Kcnh2,0.48113285256380567
Mageb5b,-0.44526413308981394
Ndufaf7,-0.4473734902360593
Upf3b,-0.44205170561536034
Wfdc6a,-0.4561195385182504
Ren1,-0.4280420738478172
Mfsd13b,-0.4497938866524167
Wdr37,0.4544262968875501
Fau,0.4705077000272016
Ephb4,-0.4283906147254375
Vmn1r197,-0.453073595542693
Pusl1,-0.44903752615083914
Efna2,-0.4388857380905876
Plin1,-0.4547541028435746
1700088E04Rik,-0.4353661981947597
Lrrc8a,0.4421997422869036
Taar7b,-0.43932293533427536
Fgf9,0.44346356632102624
1700019A02Rik,-0.44143694748431705
Krt87,-0.4391904874560911
Prss42,-0.4576185129889408
Prn,-0.4362541539170127
Tmem132d,-0.4418411279797533
Ccdc86,-0.45823770817829856
Tmem106b,0.44343248664838164
Atp6v1e1,0.4376915377562216
9830107B12Rik,-0.4398262071724808
Krtap6-2,-0.433585082288346
Ifitm1,-0.4332892968852095
G3bp2,0.4876293542159177
Actl11,-0.4442391326774005
Lgals12,-0.4693294161236219
Gclm,0.47994018107873004
Ush2a,-0.44601659269593924
Scd2,0.46192136062836264
Ly6g6e,-0.42799442723972714
4930595D18Rik,-0.44765819203233204
Tmem30a,0.4639339831002781
Pros1,-0.43424041653798495
Wdr95,-0.43705680342931735
Tagap,-0.454277041505224
Slc35g1,-0.4343489741245398
Vmn1r234,-0.4539133321061326
Hsph1,0.43256524428548304
Fxyd5,-0.4367719796807239
Fam71a,-0.45285444154503574
Olfr1368,-0.4468667415721078
Camk4,-0.4359971267915238
Tmem74,-0.43425005150966667
Rcvrn,-0.4374406743494536
Rab17,-0.4503982640813238
Pdzrn3,-0.4467332969293839
4930474N05Rik,-0.4425367295474058
Gm29733,-0.4316590983048889
Sirt2,0.444317973945087
1700028J19Rik,-0.43521752393752255
Auh,0.46412262030255946
Cfhr1,-0.45318415146059177
Esp36,-0.43796082901882566
Vapb,0.46535403417962234
Usp22,0.44806890020983237
Sema6b,0.4403310029870112
Trim61,-0.44089443743073575
Fam185a,-0.43376817695052994
Fbln7,-0.4334906838954369
Col1a2,-0.439976659926958
Sbspon,-0.43655730058121944
4930579G24Rik,-0.4421863352261063
Cox8b,-0.4477911738629308
Atad5,-0.4449316153151217
Serpina5,-0.42959040674235416
Magea9,-0.4368904844562464
Vmn2r59,-0.45307068378009574
Tas1r1,-0.4546838151560499
Obox1,-0.44714847598303087
P2ry14,-0.44449379529241706
Zfp36l1,-0.4439025260398024
Atp5o,0.44255096277365824
Aqp9,-0.4316500432718764
Pate4,-0.43071975886397784
Cd37,-0.44701191223613845
Bpifa2,-0.438228067910976
Nphs2,-0.43802584179614135
Lgr6,-0.45041259911449977
Olfr355,-0.4485695253926544
Pacrgl,-0.4466551704510414
Rnase4,-0.44499302663308093
Tpsg1,-0.4397124766707793
Gm826,-0.4308861525995975
Dstn,0.43543166635403063
Tecr,0.49353203590191463
Ptprb,-0.4317954072485145
Akr1a1,0.46288993588310234
Psg18,-0.4352949516439014
4930505A04Rik,-0.4430793482123368
