gene,r
Enpp5,0.42671613062390545
Slc4a9,-0.4283018038746685
Ace3,-0.44091379319051643
Rasa1,-0.4483431560439104
Olfr1276,-0.4527152690862257
Rtl8a,0.4796420770661786
Ndufb8,0.4367966383614112
Hspa2,-0.48038515304651813
Tns4,-0.43589377788852407
Pigh,-0.44786467261758817
Lgals3,-0.4329944054721074
Ppp3ca,-0.43530873087317296
Tbcb,0.46472198454752134
Erp44,0.4562059899985266
Slc26a6,-0.43434785888203054
Dmrtc1a,-0.4472900155827391
Niban2,-0.4262837479973407
Vsig8,-0.5018115152907092
Gm16367,-0.4311811213800522
Spx,-0.4347956425677921
Ugt1a5,-0.4271176386635903
Gstm5,0.48770740584168026
Serpinb5,-0.4386187195869399
Gapdhs,-0.42521487177587586
Zdhhc24,-0.4305372183785944
Atp6v1a,0.43524989361858235
Dynll2,0.46945931948026537
Pja1,0.42612594393098074
Ephx1,-0.4269548773164655
Tmem159,-0.43841843652277107
4930558K02Rik,-0.42820467161563547
Resp18,0.45813985672513846
Tktl1,-0.43279064346347745
Emc7,0.45546296689428795
Fermt1,-0.4322003756264944
Gm35586,-0.4530385981518434
Dnmbp,-0.43446440503152145
Fam47c,-0.4312155623958163
Map3k7,0.4321281684500535
Ccsap,-0.5122163438536358
Tbx21,-0.4258867695630099
2310057N15Rik,-0.4384693296448794
Gm30698,-0.4345095598520222
Exo5,-0.4445232521356985
Cachd1,0.43072949420840057
Maneal,0.45754938175154036
Mptx2,-0.4641609909785534
Aftph,0.42771956932329713
Esyt2,0.4454555518379563
Apol7c,-0.4243400894046963
Tmem114,-0.42569182468559114
Taar7a,-0.43165459403035195
Gm38821,-0.46331459788185597
Gm7995,-0.48069392292605856
Mas1,-0.4358679835451175
Wdpcp,-0.46679698092251215
Vmn1r1,-0.4440067781512206
Rsrp1,-0.4546104259309002
Gm36718,-0.435605967954504
Cgref1,-0.4327646338059288
Prdm13,-0.4594069477257997
Olfr1138,-0.453015264356733
Chrnb2,0.4303471296643224
Csnk1d,0.44938744873130326
Ttc13,-0.4478579824464646
Rnase2b,-0.45628761921026034
Cald1,-0.424080327284787
Dazap1,0.42698108644034527
Itgb2,-0.42714458696723795
Zmynd8,-0.43325639295305474
Wfdc17,-0.42401488527605397
Adm2,-0.431419691745931
Nid2,-0.43570689741373575
Selenbp1,-0.44618426234954284
Npc2,0.43235466230440933
Ces2h,-0.44452605598514594
Gdi1,0.4609962559461276
Cypt3,-0.439043014827636
Tpbpa,-0.42959217803024674
Ccdc62,-0.430146711522131
Ahnak,-0.4290828800196077
Cdca3,-0.4313597906069675
Arhgap44,0.43543858465283514
Fxyd4,-0.4315741681535617
Stac3,-0.43665231353306777
Egr1,-0.4661507044370122
Creg1,0.4270069192461711
Olfr1412,-0.46005222502953297
Olfr1495,-0.44170953880163666
4930467E23Rik,-0.45223876092613435
Vmn1r4,-0.4338669627385468
Scd3,-0.4320542236906937
Aldh6a1,0.4336016687187897
Mmp9,-0.4559637237002547
Cyth3,-0.4284786196849461
Fcgbp,-0.4333039181113328
Nlrc5,-0.4710409646917343
Spsb1,-0.42685198590054285
Ppp1r26,-0.4371808685697933
Ccno,-0.4560020702429246
Vps54,-0.4329376210199579
Hoxa11,-0.4678856279884255
Clp1,-0.43498897782824714
Edn2,-0.43006251476038265
Fam209,-0.4252048921873258
Cd81,0.44003237673784995
Gm31035,-0.47217105440758317
Pigx,-0.4272782211448306
Mycbp2,0.42503231324421414
Olfr1346,-0.4301999651274207
Adam26b,-0.47169102900290266
Hal,-0.42818281124051505
Fes,-0.42673270092522203
Gpr50,-0.4553431645908124
Serpinb6b,-0.46630239789077843
Iqca,-0.45658699365055766
Gm12248,-0.44495624094459896
Vmn2r94,-0.43546241870176805
Uox,-0.4586657776756266
Olfr60,-0.43406732773058576
Chrna1,-0.4402129597948543
Wipf3,-0.4272126792076298
Ccnb3,-0.4411891336067157
Apod,0.43482666865143643
Timp1,-0.48304015939469724
Ms4a1,-0.4324178312302571
Mcmdc2,-0.43900355949947634
Polr1h,-0.4757098225774765
Zfp143,-0.43778366666387725
Entpd8,-0.4486678919881779
Araf,0.49311206965511073
Zranb3,-0.4436691587654565
Slc52a2,-0.4320167629005099
Lipg,-0.47083025745904517
Hyal4,-0.4736421612868511
Praf2,0.44713094765055555
Aldh3a1,-0.4399640111702969
Smarcc1,-0.4284300680231385
Capns1,0.45636153359601134
Defb19,-0.42724763516813064
Golga2,0.47212349173436485
Cacybp,0.45706855278507663
Zbtb48,-0.4375549595856458
Ccdc182,-0.4410201049369542
Fam174b,-0.4640939756430757
Ndufv2,0.47891051172063037
E2f5,-0.4562376895318674
Dsg2,-0.4366327755379533
Rassf10,-0.4574581644142097
Il5ra,-0.44471554452349543
Thegl,-0.4438298711928382
Meikin,-0.45438411268301515
Vmn1r45,-0.447474109830142
