index,name,value,category
1,rho,0.11065270032933669,parameter
1,iFRP,0.0,initial_condition
2,iMOp,0.0,initial_condition
3,iMOs,0.0,initial_condition
4,iSSp-n,0.0,initial_condition
5,iSSp-bfd,0.0,initial_condition
6,iSSp-ll,0.0,initial_condition
7,iSSp-m,0.0,initial_condition
8,iSSp-ul,0.0,initial_condition
9,iSSp-tr,0.0,initial_condition
10,iSSp-un,0.0,initial_condition
11,iSSs,0.0,initial_condition
12,iGU,0.0,initial_condition
13,iVISC,0.0,initial_condition
14,iAUDd,0.0,initial_condition
15,iAUDp,0.0,initial_condition
16,iAUDpo,0.0,initial_condition
17,iAUDv,0.0,initial_condition
18,iVISal,0.0,initial_condition
19,iVISam,0.0,initial_condition
20,iVISl,0.0,initial_condition
21,iVISp,0.0,initial_condition
22,iVISpl,0.0,initial_condition
23,iVISpm,0.0,initial_condition
24,iVISli,0.0,initial_condition
25,iVISpor,0.0,initial_condition
26,iACAd,0.0,initial_condition
27,iACAv,0.0,initial_condition
28,iPL,0.0,initial_condition
29,iILA,0.0,initial_condition
30,iORBl,0.0,initial_condition
31,iORBm,0.0,initial_condition
32,iORBvl,0.0,initial_condition
33,iAId,0.0,initial_condition
34,iAIp,0.0,initial_condition
35,iAIv,0.0,initial_condition
36,iRSPagl,0.0,initial_condition
37,iRSPd,0.0,initial_condition
38,iRSPv,0.0,initial_condition
39,iVISa,0.0,initial_condition
40,iVISrl,0.0,initial_condition
41,iTEa,0.0,initial_condition
42,iPERI,0.0,initial_condition
43,iECT,0.0,initial_condition
44,iMOB,0.0,initial_condition
45,iAON,0.0,initial_condition
46,iTT,0.0,initial_condition
47,iDP,0.0,initial_condition
48,iPIR,0.0,initial_condition
49,iNLOT,0.0,initial_condition
50,iCOAp,0.0,initial_condition
51,iPAA,0.0,initial_condition
52,iTR,0.0,initial_condition
53,iCA1,0.0,initial_condition
54,iCA2,0.0,initial_condition
55,iCA3,0.0,initial_condition
56,iDG,0.0,initial_condition
57,iFC,0.0,initial_condition
58,iIG,0.0,initial_condition
59,iENTl,0.0,initial_condition
60,iENTm,0.0,initial_condition
61,iPAR,0.0,initial_condition
62,iPOST,0.0,initial_condition
63,iPRE,0.0,initial_condition
64,iSUB,0.0,initial_condition
65,iProS,0.0,initial_condition
66,iHATA,0.0,initial_condition
67,iAPr,0.0,initial_condition
68,iCLA,0.0,initial_condition
69,iEP,0.0,initial_condition
70,iLA,0.0,initial_condition
71,iBLA,0.0,initial_condition
72,iBMA,0.0,initial_condition
73,iPA,0.0,initial_condition
74,iCP,0.3073290254107923,initial_condition
75,iACB,0.0,initial_condition
76,iFS,0.0,initial_condition
77,iOT,0.0,initial_condition
78,iLS,0.0,initial_condition
79,iSF,0.0,initial_condition
80,iSH,0.0,initial_condition
81,iBA,0.0,initial_condition
82,iCEA,0.0,initial_condition
83,iIA,0.0,initial_condition
84,iMEA,0.0,initial_condition
85,iPALd,0.0,initial_condition
86,iSI,0.0,initial_condition
87,iMA,0.0,initial_condition
88,iMS,0.0,initial_condition
89,iNDB,0.0,initial_condition
90,iBST,0.0,initial_condition
91,iVAL,0.0,initial_condition
92,iVM,0.0,initial_condition
93,iVPL,0.0,initial_condition
94,iVPM,0.0,initial_condition
95,iPoT,0.0,initial_condition
96,iSPF,0.0,initial_condition
97,iSPA,0.0,initial_condition
98,iPP,0.0,initial_condition
99,iMG,0.0,initial_condition
100,iLGd,0.0,initial_condition
101,iLP,0.0,initial_condition
102,iPO,0.0,initial_condition
103,iPOL,0.0,initial_condition
104,iSGN,0.0,initial_condition
105,iEth,0.0,initial_condition
106,iLD,0.0,initial_condition
107,iIMD,0.0,initial_condition
108,iMD,0.0,initial_condition
109,iSMT,0.0,initial_condition
110,iPR,0.0,initial_condition
111,iPVT,0.0,initial_condition
112,iRE,0.0,initial_condition
113,iXi,0.0,initial_condition
114,iRH,0.0,initial_condition
115,iCM,0.0,initial_condition
116,iPCN,0.0,initial_condition
117,iCL,0.0,initial_condition
118,iPF,0.0,initial_condition
119,iPIL,0.0,initial_condition
120,iRT,0.0,initial_condition
121,iIGL,0.0,initial_condition
122,iIntG,0.0,initial_condition
123,iLGv,0.0,initial_condition
124,iSubG,0.0,initial_condition
125,iMH,0.0,initial_condition
126,iLH,0.0,initial_condition
127,iPVH,0.0,initial_condition
128,iARH,0.0,initial_condition
129,iADP,0.0,initial_condition
130,iAVP,0.0,initial_condition
131,iAVPV,0.0,initial_condition
132,iDMH,0.0,initial_condition
133,iMEPO,0.0,initial_condition
134,iMPO,0.0,initial_condition
135,iPS,0.0,initial_condition
136,iVLPO,0.0,initial_condition
137,iAHN,0.0,initial_condition
138,iLM,0.0,initial_condition
139,iMM,0.0,initial_condition
140,iSUM,0.0,initial_condition
141,iTM,0.0,initial_condition
142,iMPN,0.0,initial_condition
143,iPMd,0.0,initial_condition
144,iPMv,0.0,initial_condition
145,iVMH,0.0,initial_condition
146,iPH,0.0,initial_condition
147,iLHA,0.0,initial_condition
148,iLPO,0.0,initial_condition
149,iPST,0.0,initial_condition
150,iPSTN,0.0,initial_condition
151,iPeF,0.0,initial_condition
152,iRCH,0.0,initial_condition
153,iSTN,0.0,initial_condition
154,iTU,0.0,initial_condition
155,iFF,0.0,initial_condition
156,iME,0.0,initial_condition
157,iSCs,0.0,initial_condition
158,iIC,0.0,initial_condition
159,iSAG,0.0,initial_condition
160,iPBG,0.0,initial_condition
161,iSCO,0.0,initial_condition
162,iSNr,0.0,initial_condition
163,iVTA,0.0,initial_condition
164,iMRN,0.0,initial_condition
165,iSCm,0.0,initial_condition
166,iPRC,0.0,initial_condition
167,iINC,0.0,initial_condition
168,iND,0.0,initial_condition
169,iSu3,0.0,initial_condition
170,iAPN,0.0,initial_condition
171,iMPT,0.0,initial_condition
172,iNOT,0.0,initial_condition
173,iNPC,0.0,initial_condition
174,iOP,0.0,initial_condition
175,iPPT,0.0,initial_condition
176,iRPF,0.0,initial_condition
177,iCUN,0.0,initial_condition
178,iRN,0.0,initial_condition
179,iIII,0.0,initial_condition
180,iMA3,0.0,initial_condition
181,iIV,0.0,initial_condition
182,iPa4,0.0,initial_condition
183,iVTN,0.0,initial_condition
184,iAT,0.0,initial_condition
185,iLT,0.0,initial_condition
186,iMT,0.0,initial_condition
187,iSNc,0.0,initial_condition
188,iPPN,0.0,initial_condition
189,iIF,0.0,initial_condition
190,iIPN,0.0,initial_condition
191,iRL,0.0,initial_condition
192,iCLI,0.0,initial_condition
193,iDR,0.0,initial_condition
194,iNLL,0.0,initial_condition
195,iPSV,0.0,initial_condition
196,iPB,0.0,initial_condition
197,iSOC,0.0,initial_condition
198,iPG,0.0,initial_condition
199,iSUT,0.0,initial_condition
200,iTRN,0.0,initial_condition
201,iP5,0.0,initial_condition
202,iPC5,0.0,initial_condition
203,iCS,0.0,initial_condition
204,iPRNr,0.0,initial_condition
205,iNTB,0.0,initial_condition
206,iCB,0.0,initial_condition
207,cFRP,0.0,initial_condition
208,cMOp,0.0,initial_condition
209,cMOs,0.0,initial_condition
210,cSSp-n,0.0,initial_condition
211,cSSp-bfd,0.0,initial_condition
212,cSSp-ll,0.0,initial_condition
213,cSSp-m,0.0,initial_condition
214,cSSp-ul,0.0,initial_condition
215,cSSp-tr,0.0,initial_condition
216,cSSp-un,0.0,initial_condition
217,cSSs,0.0,initial_condition
218,cGU,0.0,initial_condition
219,cVISC,0.0,initial_condition
220,cAUDd,0.0,initial_condition
221,cAUDp,0.0,initial_condition
222,cAUDpo,0.0,initial_condition
223,cAUDv,0.0,initial_condition
224,cVISal,0.0,initial_condition
225,cVISam,0.0,initial_condition
226,cVISl,0.0,initial_condition
227,cVISp,0.0,initial_condition
228,cVISpl,0.0,initial_condition
229,cVISpm,0.0,initial_condition
230,cVISli,0.0,initial_condition
231,cVISpor,0.0,initial_condition
232,cACAd,0.0,initial_condition
233,cACAv,0.0,initial_condition
234,cPL,0.0,initial_condition
235,cILA,0.0,initial_condition
236,cORBl,0.0,initial_condition
237,cORBm,0.0,initial_condition
238,cORBvl,0.0,initial_condition
239,cAId,0.0,initial_condition
240,cAIp,0.0,initial_condition
241,cAIv,0.0,initial_condition
242,cRSPagl,0.0,initial_condition
243,cRSPd,0.0,initial_condition
244,cRSPv,0.0,initial_condition
245,cVISa,0.0,initial_condition
246,cVISrl,0.0,initial_condition
247,cTEa,0.0,initial_condition
248,cPERI,0.0,initial_condition
249,cECT,0.0,initial_condition
250,cMOB,0.0,initial_condition
251,cAON,0.0,initial_condition
252,cTT,0.0,initial_condition
253,cDP,0.0,initial_condition
254,cPIR,0.0,initial_condition
255,cCOAp,0.0,initial_condition
256,cPAA,0.0,initial_condition
257,cTR,0.0,initial_condition
258,cCA1,0.0,initial_condition
259,cCA2,0.0,initial_condition
260,cCA3,0.0,initial_condition
261,cDG,0.0,initial_condition
262,cFC,0.0,initial_condition
263,cIG,0.0,initial_condition
264,cENTl,0.0,initial_condition
265,cENTm,0.0,initial_condition
266,cPAR,0.0,initial_condition
267,cPOST,0.0,initial_condition
268,cPRE,0.0,initial_condition
269,cSUB,0.0,initial_condition
270,cProS,0.0,initial_condition
271,cHATA,0.0,initial_condition
272,cAPr,0.0,initial_condition
273,cCLA,0.0,initial_condition
274,cEP,0.0,initial_condition
275,cLA,0.0,initial_condition
276,cBLA,0.0,initial_condition
277,cBMA,0.0,initial_condition
278,cPA,0.0,initial_condition
279,cCP,0.0,initial_condition
280,cACB,0.0,initial_condition
281,cFS,0.0,initial_condition
282,cOT,0.0,initial_condition
283,cLS,0.0,initial_condition
284,cSF,0.0,initial_condition
285,cSH,0.0,initial_condition
286,cBA,0.0,initial_condition
287,cCEA,0.0,initial_condition
288,cIA,0.0,initial_condition
289,cMEA,0.0,initial_condition
290,cPALd,0.0,initial_condition
291,cSI,0.0,initial_condition
292,cMA,0.0,initial_condition
293,cMS,0.0,initial_condition
294,cNDB,0.0,initial_condition
295,cBST,0.0,initial_condition
296,cVAL,0.0,initial_condition
297,cVM,0.0,initial_condition
298,cVPL,0.0,initial_condition
299,cVPM,0.0,initial_condition
300,cPoT,0.0,initial_condition
301,cSPF,0.0,initial_condition
302,cSPA,0.0,initial_condition
303,cPP,0.0,initial_condition
304,cMG,0.0,initial_condition
305,cLGd,0.0,initial_condition
306,cLP,0.0,initial_condition
307,cPO,0.0,initial_condition
308,cPOL,0.0,initial_condition
309,cSGN,0.0,initial_condition
310,cEth,0.0,initial_condition
311,cLD,0.0,initial_condition
312,cIMD,0.0,initial_condition
313,cMD,0.0,initial_condition
314,cSMT,0.0,initial_condition
315,cPR,0.0,initial_condition
316,cPVT,0.0,initial_condition
317,cRE,0.0,initial_condition
318,cXi,0.0,initial_condition
319,cRH,0.0,initial_condition
320,cCM,0.0,initial_condition
321,cPCN,0.0,initial_condition
322,cCL,0.0,initial_condition
323,cPF,0.0,initial_condition
324,cPIL,0.0,initial_condition
325,cRT,0.0,initial_condition
326,cIGL,0.0,initial_condition
327,cIntG,0.0,initial_condition
328,cLGv,0.0,initial_condition
329,cSubG,0.0,initial_condition
330,cMH,0.0,initial_condition
331,cLH,0.0,initial_condition
332,cPVH,0.0,initial_condition
333,cARH,0.0,initial_condition
334,cADP,0.0,initial_condition
335,cAVP,0.0,initial_condition
336,cAVPV,0.0,initial_condition
337,cDMH,0.0,initial_condition
338,cMEPO,0.0,initial_condition
339,cMPO,0.0,initial_condition
340,cPS,0.0,initial_condition
341,cVLPO,0.0,initial_condition
342,cAHN,0.0,initial_condition
343,cLM,0.0,initial_condition
344,cMM,0.0,initial_condition
345,cSUM,0.0,initial_condition
346,cTM,0.0,initial_condition
347,cMPN,0.0,initial_condition
348,cPMd,0.0,initial_condition
349,cPMv,0.0,initial_condition
350,cVMH,0.0,initial_condition
351,cPH,0.0,initial_condition
352,cLHA,0.0,initial_condition
353,cLPO,0.0,initial_condition
354,cPST,0.0,initial_condition
355,cPSTN,0.0,initial_condition
356,cPeF,0.0,initial_condition
357,cRCH,0.0,initial_condition
358,cSTN,0.0,initial_condition
359,cTU,0.0,initial_condition
360,cFF,0.0,initial_condition
361,cME,0.0,initial_condition
362,cSCs,0.0,initial_condition
363,cIC,0.0,initial_condition
364,cSAG,0.0,initial_condition
365,cPBG,0.0,initial_condition
366,cSCO,0.0,initial_condition
367,cSNr,0.0,initial_condition
368,cVTA,0.0,initial_condition
369,cPN,0.0,initial_condition
370,cMRN,0.0,initial_condition
371,cSCm,0.0,initial_condition
372,cPRC,0.0,initial_condition
373,cINC,0.0,initial_condition
374,cND,0.0,initial_condition
375,cSu3,0.0,initial_condition
376,cAPN,0.0,initial_condition
377,cMPT,0.0,initial_condition
378,cNOT,0.0,initial_condition
379,cNPC,0.0,initial_condition
380,cOP,0.0,initial_condition
381,cPPT,0.0,initial_condition
382,cRPF,0.0,initial_condition
383,cCUN,0.0,initial_condition
384,cRN,0.0,initial_condition
385,cIII,0.0,initial_condition
386,cMA3,0.0,initial_condition
387,cIV,0.0,initial_condition
388,cPa4,0.0,initial_condition
389,cVTN,0.0,initial_condition
390,cAT,0.0,initial_condition
391,cLT,0.0,initial_condition
392,cDT,0.0,initial_condition
393,cMT,0.0,initial_condition
394,cSNc,0.0,initial_condition
395,cPPN,0.0,initial_condition
396,cIF,0.0,initial_condition
397,cIPN,0.0,initial_condition
398,cRL,0.0,initial_condition
399,cCLI,0.0,initial_condition
400,cDR,0.0,initial_condition
401,cNLL,0.0,initial_condition
402,cPSV,0.0,initial_condition
403,cSOC,0.0,initial_condition
404,cPG,0.0,initial_condition
405,cSUT,0.0,initial_condition
406,cTRN,0.0,initial_condition
407,cP5,0.0,initial_condition
408,cPC5,0.0,initial_condition
