region,capacity mode,capacity variance,decay mode,decay variance
iFRP,0.23455935034011963,0.018151416361022143,-0.3994219728197072,0.00022556355104940678
iMOp,1.9622027331666618,0.06608554849068062,-0.6299466440424355,0.0021291170295944088
iMOs,2.2543711113712552,0.024825745052177835,-1.1643607221311056,0.0027258792485328636
iSSp-n,0.2067136098295741,0.3295841277152385,0.741451873387881,0.22859317791451306
iSSp-bfd,1.914647734903294,0.23433316701831877,0.04746567052360885,0.0066156583343598245
iSSp-ll,1.7408271818196033,0.2581412633140269,0.12006290099712669,0.0077414879549558
iSSp-m,0.160332576687127,0.22376167438964178,0.6014664657521082,0.1725141950099495
iSSp-ul,1.754043659596955,0.08566271057845054,-0.08037252417549391,0.002382115955190844
iSSp-tr,1.8956503966550287,0.07882246735866207,0.14737390942801096,0.0035101810011687476
iSSp-un,2.0063878143846443,0.0650524006266116,0.16958248740263793,0.0029630935155441442
iSSs,3.1351653101031456,0.02446988393860882,-0.8124356261390941,0.0022700930951187045
iGU,1.8344883963916485,0.05686918256286504,-0.04771962215755145,0.0015426078040736496
iVISC,1.7207474666062326,0.04772647272653475,-0.16334645596660985,0.0008526892521273035
iAUDd,3.0487224952519707,0.03492719875646191,0.071482443634128,0.001843272303727671
iAUDp,3.142039486358809,0.11690835666909381,-0.06544675972484473,0.0076582896632412575
iAUDpo,1.7895711915056356,0.42976221537358744,0.5142020210956462,0.016191928908489587
iAUDv,3.092359820910786,0.03099590870700252,-0.2408742639426464,0.0012910711945513676
iVISal,2.150161525995185,0.2242006101020936,0.4281472499101277,0.010271790954704322
iVISam,2.1200020153368593,0.14674044631525104,0.30961713976674243,0.005474935289142822
iVISl,0.5222707418500575,0.4782415970465129,0.35210741486247804,0.07674493049297774
iVISp,0.2604971816994907,0.4202942566642641,-0.1580791334841904,0.5558338875096536
iVISpl,0.4351341433934524,0.38401169899324333,0.2952849362939575,0.08973236755481345
iVISpm,0.5022107340619423,0.34748151470988825,0.6138774340380351,0.12438320166224152
iVISli,0.9573128929733321,0.33800830342042987,0.5267482662239851,0.03313909431027006
iVISpor,2.348719233133656,0.11643782202438421,0.16123483735186725,0.006653235047039148
iACAd,1.9720825372454984,0.010181920310953156,-0.6676984330825079,0.00038717416468098847
iACAv,1.542061023302428,0.2945595649766657,0.33915067203045174,0.010827822265059309
iPL,1.9993084850775702,0.011586081952721736,-0.5809628774114446,0.00032181018578778615
iILA,1.5429652492441595,0.3032013179859167,0.1826866417681324,0.006839263695037455
iORBl,1.4850853421136432,0.03750142207636314,-0.3452927087676797,0.0005527659413131146
iORBm,0.5696809345793795,0.14963323356582492,-0.01593357881219744,0.0017526974297936834
iORBvl,1.125711230412114,0.060755986895072854,-0.2937032040973993,0.0005457700231966308
iAId,1.1192937029872814,0.06844426581371482,-0.49033782273755083,0.0006735595502236773
iAIp,1.4105179943594388,0.10027668213435818,-0.09118526347004463,0.0012684314205195476
iAIv,0.9988143462063689,0.15715998171911433,-0.007492899321268291,0.00204923299134461
iRSPagl,1.7940386955479095,0.4455657839802692,0.12219301038824881,0.015081306589267691
iRSPd,0.25570792511412466,0.35002490966178784,0.47476761893406155,0.2442421895186949
iRSPv,0.35303090479589017,0.31681354770397,1.1274639681785725,0.311273913148753
iVISa,2.5989252359330233,0.04043803231352925,0.13857436824824174,0.0027753506303759374
iVISrl,3.0381455936941784,0.03408079861226007,0.13031526213446878,0.0024223940747676014
iTEa,3.370953519219301,0.01902750016235881,-0.5620215914885732,0.0008706713763179827
iPERI,2.4340846575286648,0.029374896351799448,0.09112476291159359,0.0011699751996406466
iECT,2.8542232088321375,0.016311214913756655,-0.24764700193375502,0.00036110752070650943
iOLF,0.13886417658064829,0.24370850988184642,-2.150428816161584,0.9966293691137472
iMOB,0.10731710968650673,0.1449381804107044,-0.6565376424954035,0.05172530803849971
iAON,0.21292215345933602,0.25072780142403506,0.13600484428098114,0.09514158693965749
iTT,0.2635043497801708,0.2795486389854294,0.6799359500169961,0.13730683964253265
iDP,0.3062007959226952,0.35951988544931607,0.7536168480404284,0.22138640910227153
iPIR,0.19264096185435053,0.27346879833480603,0.6375727408578956,0.12752319100212495
iNLOT,0.18443810380884643,0.30831013474504215,1.1953571362031057,0.3355593235914787
iCOA,0.1427331795128688,0.2393313746083093,1.0015927530654423,0.17428466190470623
iCOAp,0.009101272769063699,0.001534693856592358,-0.39258944463989254,0.000280760161127725
iPAA,0.16444559499412778,0.2414745724158915,1.0101037700879212,0.07734539617234416
iTR,2.8329764251271468,0.08129684602151875,0.07198219296821433,0.0017654410191481097
iHPF,0.22144981903315344,0.3549162129739299,0.19542600159474507,0.9129670601193802
iCA1,0.2952672859676613,0.34267211767697503,0.6111748345184478,0.4618114388848697
iCA2,0.22502435592752773,0.35508650434252964,0.9225332363607289,0.287127016341884
iCA3,0.24021433075834142,0.33185782476725484,0.48173878968930134,0.4302857210963743
iDG,0.22897909439786432,0.36740303033416394,0.4861607853437038,0.4901616820954266
iFC,0.19494010949842883,0.3652873961914556,0.5045726548986605,0.356214540965859
iIG,0.2259452228177212,0.39914709171113877,0.3427528564320794,0.24353758771197098
iENTl,2.4902498247896334,0.3179787157854606,0.03043811214881709,0.008730005015577642
iENTm,0.21126325144425995,0.20766213654183002,-0.1350223120629498,0.0058697924970126936
iPAR,0.329664641853371,0.3552354432571431,0.673737915857545,0.3607700194413193
iPOST,0.36472187522928606,0.3479158509778979,0.6001594165304233,0.34165894689958115
iPRE,0.2388298148794394,0.3301012492072986,0.5715661225512828,0.35781100238715313
iSUB,0.22715553287745713,0.35627424330704677,0.8871735236809394,0.28330480291996873
iProS,0.3107443679708627,0.3228964931547909,1.4108837229999531,0.3080142700801405
iHATA,0.22687280992264244,0.34679165266139445,1.3457574516621542,0.24700465357480697
iAPr,0.23221361919585343,0.3437787323039015,0.22250013780780473,0.3908300387787056
iCTXsp,2.593139528100139,0.21361760322717416,-1.165843938917521,0.006637236369975213
iCLA,0.13253479754666136,0.1393915752334199,0.1665015858733234,0.00638493268977932
iEP,1.3274999895182766,0.2283934045445066,-0.005373020399384771,0.0037574424229946386
iLA,0.3141666352466974,0.06542711330613708,-0.0024168321714305996,0.0010806402842699937
iBLA,4.426189917141766,0.016106504426936057,-0.7038865882155592,0.00026168362099496066
iBMA,3.591862197115007,0.02768694216419958,-0.18637758220925632,0.0008344252316565221
iPA,0.039292528087103054,0.022649582783333025,-0.19535716742396136,0.0003687076918250168
iSTR,0.2135773162008715,0.39321279263306547,-0.13010810627322408,1.107306760985015
iCP,3.686641620201757,0.06340559596801162,-4.6601977734971625,0.05287641453416573
iACB,0.18555257008901166,0.17912344375416103,-0.9338000171845267,0.0020845789424894946
iFS,0.32996142485336794,0.28490425739933345,0.11171981619197849,0.14040961607470523
iOT,0.2476552484945978,0.321580691893496,0.48087059794269843,0.34913922760603683
iLS,0.27189981289550574,0.34298844855188865,-0.19344205013389906,0.5069051854058318
iSF,0.23878955646979638,0.3411709633265655,0.2590426630934772,0.39423208237820884
iSH,0.13600264933831593,0.16229262571618266,-0.3728608144438275,0.0012798699893040808
iBA,0.1935516066915979,0.36101430334195694,1.1369304845950134,0.31782641119876
iCEA,1.7752452280466202,0.06024315028453695,-0.583481398270213,0.00042068029316201934
iIA,0.8379066923644715,0.25382200702774466,0.05488435287391466,0.0022580868640855348
iMEA,0.10996322295683278,0.118587959052533,-0.2595537376477098,0.006648866356289211
iPAL,0.2930367419557701,0.366571132185,0.05366236644432067,0.7086874929773291
iPALd,0.27191950853212876,0.27500843642742917,0.9258809419209428,0.31595440514270134
iSI,0.23652729649653476,0.3435188813845466,0.35082713936038096,0.3363542543274874
iMA,0.2752347340390015,0.3208888571973152,0.7763590192790564,0.3132258997441825
iMS,0.24475204843526827,0.3444864908481947,0.7246843643526193,0.3436375677428053
iNDB,0.21123105554324006,0.34868435607976567,0.4602413568878484,0.3402851184682047
iBST,0.4278727111920021,0.22292021665279557,-0.515938148471016,0.0009600119055697957
iTH,0.2645930546128643,0.3508756389129891,0.1656609696903046,0.8516353190346406
iVAL,0.24446061119836798,0.31383475114910064,1.4156746083803193,0.2791303741463033
iVM,0.20058257964621726,0.30912121347542176,1.3381347589933645,0.31048395377851584
iVP,0.20861321579553718,0.31594893523971557,1.1359796890278333,0.3620888711141747
iVPL,0.19367098158590984,0.3145488408899828,1.338750545167792,0.29570110112077863
iVPM,0.22331764467531462,0.3216541130982729,1.3019318318029038,0.320311840005127
iPoT,0.19102121044677706,0.2803589830425945,1.5159885693550699,0.24561036601779287
iSPF,0.18058283218084512,0.24494751485858307,1.0695323833386634,0.2800040306320913
iSPA,0.20575178015548085,0.26793926657538514,0.7509742346004601,0.2863234093629336
iPP,0.25639700545286515,0.2711844741591478,1.6664832133521272,0.283015071576163
iMG,0.26834722631629515,0.2652302704133066,1.7757108543669824,0.3017069628312517
iLGd,0.17602930793142496,0.315408362932196,0.9888803979301795,0.31818363482210654
iLP,0.2042179880267117,0.3446517327410222,0.9130257291106455,0.3267328403041835
iPO,0.2388988007870811,0.3251494557047958,1.1620575261125672,0.30781871999004284
iPOL,0.22585569380345963,0.2745684446743752,1.6325018129948112,0.2751565433133795
iSGN,0.24135671753703755,0.2913910659014216,1.5365823285603848,0.2792727557102469
iEth,0.21605283238718836,0.2818464946235119,1.0708479424957094,0.2549854131645779
iLD,0.2150415572461719,0.3248755619855427,0.8279367382954539,0.349077017942118
iIMD,0.9998154208259536,0.11712217370190077,0.10556163871868673,0.0018791571037416052
iMD,0.23095817211353661,0.27764868441496116,0.5471829199584326,0.18526739142756365
iSMT,0.1939594905220951,0.25559158482838656,1.2934337689675808,0.2668710929675432
iPR,0.21766242692485308,0.30613795727176246,1.3652297373268552,0.28154135676845354
iPVT,1.967620892391782,0.20237680771800848,0.09051042819375402,0.004760339554537771
iRE,0.2614942031969097,0.30093294303342993,1.0281197140639504,0.24207234683569837
iXi,0.22190633023509246,0.290812503377467,1.9807003885398462,0.2717104695466551
iRH,0.9286016675268199,0.07499384418377199,0.003830640174742962,0.0008652079157437782
iCM,1.9433114507298637,0.02825162905876317,0.09711130939337384,0.0013760349407931196
iPCN,0.19984839303774968,0.249022103270404,0.7997790584674476,0.17279237383491777
iCL,0.5784313906855136,0.395975869194229,0.5677959536684717,0.1688746304881675
iPF,0.2317670768173768,0.17238204077431074,0.12452606543622122,0.05316821320758713
iPIL,0.22837106175032212,0.26090214829782893,1.6960511422723539,0.271464615349101
iRT,0.20699274088711261,0.32714598513275694,1.0106498887542164,0.3138110496154657
iIGL,0.22006063284504743,0.25994263042866633,1.1238454720196829,0.2893596033482269
iIntG,0.3403436633124303,0.24848739124124244,1.3209638456734474,0.30572372832469796
iLGv,0.19968320702731734,0.2813481507527224,1.4943050616494495,0.30943953853984824
iSubG,0.22742726211478015,0.3150694556509219,1.0869997959156108,0.31618548136839647
iMH,0.45904200893175645,0.3175241190313218,1.0171550107927227,0.3118906965111052
iLH,0.2608255483071686,0.30114847336562117,0.7576264117972973,0.29422532374952415
iHY,0.27412277557734055,0.34208977606998875,0.09552375910763293,0.9684832528067849
iPVZ,0.2133437523808318,0.3681250485713787,0.3145737568880821,0.36264059165202384
iPVH,0.22372021801838793,0.35761593117416796,0.2866413997782576,0.4647915523131436
iARH,0.19877229175623382,0.34898251655317103,0.5174052010235065,0.3321611447868757
iPVR,0.19410638802121094,0.3545949913714788,0.41599647182649613,0.48801286092786006
iADP,0.21367301262892216,0.36094605644508904,0.1513888218998875,0.3816462596451971
iAVP,0.2729484147041443,0.3233506003796736,-0.10091714167838013,0.40327401320892414
iAVPV,0.29064074198033724,0.34404851987925344,0.34570088296617113,0.3532897617846727
iDMH,0.3870863456865523,0.36774452862687423,0.18481945237673522,0.33358061076815526
iMEPO,0.23500312816827326,0.3447440489364357,0.30367767814809005,0.35114217191131153
iMPO,0.2060229680312578,0.35778330507137107,0.2832792634927724,0.3945191775478409
iPS,0.22391020257778702,0.37932208369564774,0.12044880258739495,0.3843592968001606
iVLPO,0.2845575927882558,0.34996233645199304,0.22959162420140322,0.3909625448204086
iMEZ,0.24108476967206946,0.3575691913783873,-0.1687885106979206,0.6098487041606906
iAHN,0.21727649124528306,0.3630667762664632,0.3593483830534807,0.407623441358981
iLM,0.2029227037008078,0.34499890029922453,0.22297799117273087,0.3618276190267269
iMM,0.21029596564345393,0.3239968104934403,0.3451615852728286,0.3522604396698634
iSUM,0.3788945785507819,0.32787389981004883,0.46254983542315353,0.35067213726791036
iTM,0.204870958401657,0.34672195707808195,0.11137371474791498,0.3691701509708016
iMPN,0.2110345410925386,0.37143991669236726,-0.06434309835315402,0.483041669144945
iPMd,0.39868995856287914,0.3300696160367353,0.2895440941337371,0.37574044085791397
iPMv,0.11334421880474901,0.1711858959172241,-0.23323191544380967,0.0396208381278308
iVMH,0.2344337122088563,0.34463950238402224,0.20326295437138275,0.3745541935648279
iPH,0.34448891076276217,0.36502410863890045,0.1566312015252206,0.4126454567426001
iLHA,0.3816944994286272,0.3424110755788032,0.39941677841600615,0.42460942868353546
iLPO,0.3622503469224682,0.35949452656720654,0.4560122804983693,0.3858150684975593
iPST,0.24313256473335018,0.33639838232854785,0.43241447361791935,0.3473353736952626
iPSTN,0.2589438461254983,0.3230111983712888,0.48431249517979763,0.3251235584319153
iPeF,0.2357471241461197,0.33124432707743634,0.42675688629508596,0.35864804772072056
iRCH,0.26296444907080163,0.3592710613424334,0.3367808946438865,0.4027942482803646
iSTN,0.20127002880455322,0.3063629088479754,0.9833728402535475,0.2974997597730232
iTU,0.2492407167643858,0.3521956122203523,0.23575879135222672,0.3859382576508495
iZI,0.2103725934323815,0.34579532837595384,0.4813350824021083,0.39072695029072474
iFF,0.25066450818416747,0.33281293918779553,0.42626040325065945,0.33326854583896226
iME,0.19757307805298102,0.32655289043488267,0.5551567128340902,0.3418904517689286
iMB,0.3273548555840936,0.3564821336722196,0.11163799866963153,0.9874107869886338
iSCs,0.21988623127748055,0.3690603696106668,0.15391022398212154,0.4257086526162015
iIC,0.2464785560348608,0.37530135520074814,0.20924511728585365,0.4419633876053149
iSAG,0.23446073263439263,0.35750091427620845,0.4606780843423119,0.3600485096106836
iPBG,0.23675482971546127,0.31528405968264056,0.5142651624157901,0.3625544011826622
iSCO,0.25266536945493934,0.35824171213287004,0.34367278468429746,0.3709702395128661
